"Ethnicity","Geography","%","Pupils"
"All","All - England","16.8","521,202"
"All","Barking and Dagenham","13.4","2,199"
"All","Barnet","37.3","3,810"
"All","Barnsley","8.9","2,011"
"All","Bath and North East Somerset","19.7","2,074"
"All","Bedford","11.7","1,832"
"All","Bexley","23.3","3,032"
"All","Birmingham","16.7","12,166"
"All","Blackburn with Darwen","15.8","1,830"
"All","Blackpool","4.0","1,136"
"All","Bolton","14.6","3,251"
"All","Bournemouth","23.2","1,512"
"All","Bracknell Forest","16.2","1,043"
"All","Bradford","12.6","5,941"
"All","Brent","27.6","2,858"
"All","Brighton and Hove","17.2","2,169"
"All","Bristol, City of","13.4","3,109"
"All","Bromley","27.3","3,214"
"All","Buckinghamshire","26.4","5,665"
"All","Bury","16.7","2,113"
"All","Calderdale","16.5","2,410"
"All","Cambridgeshire","19.8","5,491"
"All","Camden","19.8","1,533"
"All","Central Bedfordshire","11.8","2,579"
"All","Cheshire East","15.9","3,537"
"All","Cheshire West and Chester","17.4","3,298"
"All","City of London","N/A","0"
"All","Cornwall","11.9","5,117"
"All","County Durham","13.2","4,614"
"All","Coventry","12.3","3,377"
"All","Croydon","16.0","3,452"
"All","Cumbria","15.0","4,689"
"All","Darlington","16.0","1,097"
"All","Derby","15.5","2,747"
"All","Derbyshire","13.3","7,069"
"All","Devon","14.2","6,559"
"All","Doncaster","7.4","2,903"
"All","Dorset","16.4","3,989"
"All","Dudley","11.6","3,283"
"All","Ealing","27.5","2,853"
"All","East Riding of Yorkshire","14.8","3,151"
"All","East Sussex","12.9","4,665"
"All","Enfield","19.3","3,414"
"All","Essex","14.7","14,040"
"All","Gateshead","16.2","1,885"
"All","Gloucestershire","19.8","6,006"
"All","Greenwich","15.3","2,269"
"All","Hackney","22.3","2,058"
"All","Halton","14.5","1,333"
"All","Hammersmith and Fulham","32.4","1,291"
"All","Hampshire","16.0","12,497"
"All","Haringey","19.3","2,190"
"All","Harrow","24.5","2,044"
"All","Hartlepool","9.1","1,016"
"All","Havering","19.2","2,774"
"All","Herefordshire, County of","14.9","1,644"
"All","Hertfordshire","25.0","12,372"
"All","Hillingdon","18.7","3,064"
"All","Hounslow","27.1","2,666"
"All","Isle of Wight","8.1","1,070"
"All","Isles of Scilly","40.0","15"
"All","Islington","17.4","1,404"
