"Time","Ethnicity","Rate per 1,000"
"2016/17","Mixed White/Black Caribbean","10.6"
"2016/17","Mixed other","13.5"
"2016/17","White","3.5"
"2016/17","White British","3.1"
"2016/17","White Irish","4.8"
"2016/17","White other","10.3"
"2016/17","Other inc Chinese","4.6"
"2016/17","Chinese","1.2"
"2016/17","Any other","7.0"
"2017/18","All","5.0"
"2017/18","Asian","7.5"
"2017/18","Bangladeshi","13.4"
"2017/18","Indian","3.0"
"2017/18","Pakistani","7.1"
"2017/18","Asian other","12.7"
"2017/18","Black","29.2"
"2017/18","Black African","18.6"
"2017/18","Black Caribbean","26.4"
"2017/18","Black other","72.6"
"2017/18","Mixed","8.6"
"2017/18","Mixed White/Asian","2.6"
"2017/18","Mixed White/Black African","7.2"
"2017/18","Mixed White/Black Caribbean","10.1"
"2017/18","Mixed other","14.0"
"2017/18","White","3.1"
"2017/18","White British","2.7"
"2017/18","White Irish","4.1"
"2017/18","White other","8.5"
"2017/18","Other inc Chinese","4.9"
"2017/18","Chinese","1.2"
"2017/18","Any other","7.4"
"2018/19","All","6.7"
"2018/19","Asian","10.9"
"2018/19","Bangladeshi","21.5"
"2018/19","Indian","3.8"
"2018/19","Pakistani","10.0"
"2018/19","Asian other","18.4"
"2018/19","Black","37.9"
"2018/19","Black African","24.4"
"2018/19","Black Caribbean","31.2"
"2018/19","Black other","100.1"
"2018/19","Mixed","10.7"
"2018/19","Mixed White/Asian","3.7"
"2018/19","Mixed White/Black African","9.2"
"2018/19","Mixed White/Black Caribbean","11.6"
"2018/19","Mixed other","18.3"
"2018/19","White","3.9"
"2018/19","White British","3.5"
"2018/19","White Irish","5.3"
"2018/19","White other","11.7"
"2018/19","Other inc Chinese","6.8"
"2018/19","Chinese","1.4"
"2018/19","Any other","10.5"
