"","2019/20","2020/21"
"Ethnicity","Rate per 1,000","Rate per 1,000"
"All","10.6","12.8"
"Asian","15.4","18.7"
"Bangladeshi","29.3","30.2"
"Chinese","1.7","1.7"
"Indian","5.2","6.2"
"Pakistani","16.4","21.0"
"Asian other","30.3","38.7"
"Black","54.1","54.2"
"Black African","34.1","33.8"
"Black Caribbean","38.9","36.5"
"Black other","157.0","163.8"
"Mixed","15.8","18.2"
"Mixed White/Asian","5.2","6.9"
"Mixed White/Black African","13.1","14.5"
"Mixed White/Black Caribbean","16.0","16.5"
"Mixed other","29.3","35.9"
"White","6.1","7.7"
"White British","5.4","6.9"
"White Irish","7.3","8.8"
"White Gypsy/Traveller","3.5","10.7"
"White other","19.4","22.4"
"Other","17.8","21.2"
"Arab","0.6","1.9"
"Any other","29.4","34.1"
