"Value_note","Ethnicity","%","Number"
"Looked after children","Asian","4","3,480"
"Looked after children","Black","8","5,930"
"Looked after children","Mixed","10","7,560"
"Looked after children","White","74","57,780"
"Looked after children","Other","4","2,780"
"Looked after children","Unknown","1","620"
"Looked after children who were adopted","Asian","1","50"
"Looked after children who were adopted","Black","2","60"
"Looked after children who were adopted","Mixed","11","390"
"Looked after children who were adopted","White","83","2,960"
"Looked after children who were adopted","Other","1","40"
"Looked after children who were adopted","Unknown","2","70"
"Under 18 population","Asian","10","1,136,293"
"Under 18 population","Black","5","562,333"
"Under 18 population","Mixed","5","590,017"
"Under 18 population","White","79","8,903,313"
"Under 18 population","Other","1","145,004"
"Under 18 population","Unknown","N/A","N/A"
