"Year","Ethnicity","%","Number"
"2015","All","100","69,470"
"2015","White","77","53,600"
"2015","White British","73","50,400"
"2015","White Irish","~0","290"
"2015","Irish Traveller","~0","80"
"2015","Gypsy/Roma","~0","260"
"2015","White other","4","2,570"
"2015","Mixed","9","6,400"
"2015","White/Black Caribbean","3","2,400"
"2015","White/Black African","1","670"
"2015","White/Asian","2","1,230"
"2015","Mixed other","3","2,100"
"2015","Asian","4","2,670"
"2015","Indian","~0","290"
"2015","Pakistani","1","870"
"2015","Bangladeshi","1","460"
"2015","Asian other","1","1,040"
"2015","Black","7","4,990"
"2015","Black Caribbean","2","1,490"
"2015","Black African","4","2,590"
"2015","Black other","1","910"
"2015","Other","2","1,590"
"2015","Chinese","~0","60"
"2015","Any other","2","1,530"
"2015","Unknown","~0","230"
"2016","All","100","70,410"
"2016","White","75","53,160"
"2016","White British","71","49,870"
"2016","White Irish","~0","260"
"2016","Irish Traveller","~0","90"
"2016","Gypsy/Roma","~0","280"
"2016","White other","4","2,660"
"2016","Mixed","9","6,450"
"2016","White/Black Caribbean","3","2,360"
"2016","White/Black African","1","670"
"2016","White/Asian","2","1,240"
"2016","Mixed other","3","2,180"
"2016","Asian","4","3,080"
"2016","Indian","~0","290"
"2016","Pakistani","1","850"
"2016","Bangladeshi","1","420"
"2016","Asian other","2","1,520"
"2016","Black","7","5,240"
"2016","Black Caribbean","2","1,390"
"2016","Black African","4","2,950"
"2016","Black other","1","900"
"2016","Other","3","2,250"
"2016","Chinese","~0","80"
"2016","Any other","3","2,170"
"2016","Unknown","~0","240"
"2017","All","100","72,610"
"2017","White","75","54,330"
"2017","White British","70","50,910"
"2017","White Irish","~0","240"
"2017","Irish Traveller","~0","90"
"2017","Gypsy/Roma","~0","330"
"2017","White other","4","2,760"
"2017","Mixed","9","6,830"
"2017","White/Black Caribbean","3","2,450"
"2017","White/Black African","1","720"
"2017","White/Asian","2","1,330"
"2017","Mixed other","3","2,330"
"2017","Asian","5","3,380"
"2017","Indian","~0","290"
"2017","Pakistani","1","880"
"2017","Bangladeshi","1","410"
"2017","Asian other","2","1,790"
"2017","Black","7","5,270"
"2017","Black Caribbean","2","1,410"
"2017","Black African","4","2,840"
"2017","Black other","1","1,010"
"2017","Other","3","2,480"
"2017","Chinese","~0","80"
"2017","Any other","3","2,400"
"2017","Unknown","~0","330"
"2018","All","100","75,370"
"2018","White","75","56,380"
"2018","White British","70","52,820"
"2018","White Irish","~0","230"
"2018","Irish Traveller","~0","90"
"2018","Gypsy/Roma","~0","380"
"2018","White other","4","2,860"
"2018","Mixed","10","7,290"
"2018","White/Black Caribbean","3","2,590"
"2018","White/Black African","1","800"
"2018","White/Asian","2","1,380"
"2018","Mixed other","3","2,520"
"2018","Asian","5","3,400"
"2018","Indian","~0","330"
"2018","Pakistani","1","930"
"2018","Bangladeshi","1","410"
"2018","Asian other","2","1,730"
"2018","Black","7","5,400"
"2018","Black Caribbean","2","1,340"
"2018","Black African","4","2,990"
"2018","Black other","1","1,080"
"2018","Other","3","2,490"
"2018","Chinese","~0","90"
"2018","Any other","3","2,400"
"2018","Unknown","1","420"
"2019","All","100","78,150"
"2019","White","74","57,780"
"2019","White British","69","54,060"
"2019","White Irish","~0","230"
"2019","Irish Traveller","~0","100"
"2019","Gypsy/Roma","1","440"
"2019","White other","4","2,950"
"2019","Mixed","10","7,560"
"2019","White/Black Caribbean","3","2,630"
"2019","White/Black African","1","890"
"2019","White/Asian","2","1,490"
"2019","Mixed other","3","2,560"
"2019","Asian","4","3,480"
"2019","Indian","~0","310"
"2019","Pakistani","1","1,020"
"2019","Bangladeshi","1","410"
"2019","Asian other","2","1,730"
"2019","Black","8","5,930"
"2019","Black Caribbean","2","1,340"
"2019","Black African","4","3,410"
"2019","Black other","2","1,180"
"2019","Other","4","2,780"
"2019","Chinese","~0","100"
"2019","Any other","3","2,690"
"2019","Unknown","1","620"
