"","All","","Female","","Male",""
"Ethnicity","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"All","12","675,461","3","98,902","21","576,559"
"Asian","12","45,603","2","3,265","22","42,338"
"Black","35","64,670","7","6,785","64","57,885"
"Mixed","19","23,137","6","3,425","32","19,712"
"White","10","485,885","3","77,077","17","408,808"
"Other inc Chinese","11","10,810","3","1,468","19","9,342"
