"Ethnicity","Police force area","Rate per 1,000"
"All","All - including BTP","5"
"All","Avon & Somerset","4"
"All","Bedfordshire","2"
"All","British Transport Police","N/A"
"All","Cambridgeshire","1"
"All","Cheshire","2"
"All","Cleveland","2"
"All","Cumbria","3"
"All","Derbyshire","1"
"All","Devon & Cornwall","3"
"All","Dorset","3"
"All","Durham","2"
"All","Dyfed-Powys","4"
"All","Essex","2"
"All","Gloucestershire","3"
"All","Greater Manchester","1"
"All","Gwent","2"
"All","Hampshire","4"
"All","Hertfordshire","6"
"All","Humberside","1"
"All","Kent","3"
"All","Lancashire","2"
"All","Leicestershire","2"
"All","Lincolnshire","3"
"All","London, City of","N/A"
"All","Merseyside","7"
"All","Metropolitan Police","16"
"All","Norfolk","3"
"All","North Wales","2"
"All","North Yorkshire","2"
"All","Northamptonshire","2"
"All","Northumbria","2"
"All","Nottinghamshire","2"
"All","South Wales","5"
"All","South Yorkshire","1"
"All","Staffordshire","3"
"All","Suffolk","2"
"All","Surrey","5"
"All","Sussex","3"
"All","Thames Valley","3"
"All","Warwickshire","3"
"All","West Mercia","4"
"All","West Midlands","4"
"All","West Yorkshire","4"
"All","Wiltshire","1"
"Asian","All - including BTP","8"
"Asian","Avon & Somerset","3"
"Asian","Bedfordshire","3"
"Asian","British Transport Police","N/A"
"Asian","Cambridgeshire","1"
"Asian","Cheshire","1"
"Asian","Cleveland","3"
"Asian","Cumbria","7"
"Asian","Derbyshire","2"
"Asian","Devon & Cornwall","4"
"Asian","Dorset","3"
"Asian","Durham","3"
"Asian","Dyfed-Powys","4"
"Asian","Essex","3"
"Asian","Gloucestershire","4"
"Asian","Greater Manchester","1"
"Asian","Gwent","3"
"Asian","Hampshire","4"
"Asian","Hertfordshire","7"
"Asian","Humberside","2"
"Asian","Kent","5"
"Asian","Lancashire","3"
"Asian","Leicestershire","1"
"Asian","Lincolnshire","2"
"Asian","London, City of","N/A"
"Asian","Merseyside","5"
"Asian","Metropolitan Police","13"
"Asian","Norfolk","3"
"Asian","North Wales","2"
"Asian","North Yorkshire","8"
"Asian","Northamptonshire","3"
"Asian","Northumbria","4"
"Asian","Nottinghamshire","2"
"Asian","South Wales","8"
"Asian","South Yorkshire","3"
"Asian","Staffordshire","8"
"Asian","Suffolk","3"
"Asian","Surrey","6"
"Asian","Sussex","7"
"Asian","Thames Valley","4"
"Asian","Warwickshire","4"
"Asian","West Mercia","15"
"Asian","West Midlands","6"
"Asian","West Yorkshire","5"
"Asian","Wiltshire","2"
"Black","All - including BTP","29"
"Black","Avon & Somerset","21"
"Black","Bedfordshire","6"
"Black","British Transport Police","N/A"
"Black","Cambridgeshire","6"
"Black","Cheshire","13"
"Black","Cleveland","5"
"Black","Cumbria","21"
"Black","Derbyshire","6"
"Black","Devon & Cornwall","24"
"Black","Dorset","44"
"Black","Durham","4"
"Black","Dyfed-Powys","7"
"Black","Essex","13"
"Black","Gloucestershire","33"
"Black","Greater Manchester","3"
"Black","Gwent","3"
"Black","Hampshire","42"
"Black","Hertfordshire","23"
"Black","Humberside","5"
"Black","Kent","34"
"Black","Lancashire","8"
"Black","Leicestershire","6"
"Black","Lincolnshire","17"
"Black","London, City of","N/A"
"Black","Merseyside","18"
"Black","Metropolitan Police","40"
"Black","Norfolk","29"
"Black","North Wales","7"
"Black","North Yorkshire","11"
"Black","Northamptonshire","10"
"Black","Northumbria","9"
"Black","Nottinghamshire","9"
"Black","South Wales","29"
"Black","South Yorkshire","5"
"Black","Staffordshire","23"
"Black","Suffolk","18"
"Black","Surrey","28"
"Black","Sussex","38"
"Black","Thames Valley","10"
"Black","Warwickshire","33"
"Black","West Mercia","46"
"Black","West Midlands","13"
"Black","West Yorkshire","6"
"Black","Wiltshire","12"
"Mixed","All - including BTP","9"
"Mixed","Avon & Somerset","7"
"Mixed","Bedfordshire","4"
"Mixed","British Transport Police","N/A"
"Mixed","Cambridgeshire","2"
"Mixed","Cheshire","3"
"Mixed","Cleveland","1"
"Mixed","Cumbria","2"
"Mixed","Derbyshire","2"
"Mixed","Devon & Cornwall","3"
"Mixed","Dorset","4"
"Mixed","Durham","2"
"Mixed","Dyfed-Powys","4"
"Mixed","Essex","4"
"Mixed","Gloucestershire","8"
"Mixed","Greater Manchester","2"
"Mixed","Gwent","-"
"Mixed","Hampshire","8"
"Mixed","Hertfordshire","8"
"Mixed","Humberside","4"
"Mixed","Kent","8"
"Mixed","Lancashire","3"
"Mixed","Leicestershire","2"
"Mixed","Lincolnshire","6"
"Mixed","London, City of","N/A"
"Mixed","Merseyside","7"
"Mixed","Metropolitan Police","15"
"Mixed","Norfolk","7"
"Mixed","North Wales","3"
"Mixed","North Yorkshire","3"
"Mixed","Northamptonshire","5"
"Mixed","Northumbria","2"
"Mixed","Nottinghamshire","4"
"Mixed","South Wales","9"
"Mixed","South Yorkshire","2"
"Mixed","Staffordshire","7"
"Mixed","Suffolk","6"
"Mixed","Surrey","8"
"Mixed","Sussex","5"
"Mixed","Thames Valley","6"
"Mixed","Warwickshire","9"
"Mixed","West Mercia","9"
"Mixed","West Midlands","8"
"Mixed","West Yorkshire","4"
"Mixed","Wiltshire","3"
"White","All - including BTP","3"
"White","Avon & Somerset","3"
"White","Bedfordshire","2"
"White","British Transport Police","N/A"
"White","Cambridgeshire","1"
"White","Cheshire","2"
"White","Cleveland","1"
"White","Cumbria","3"
"White","Derbyshire","1"
"White","Devon & Cornwall","2"
"White","Dorset","3"
"White","Durham","2"
"White","Dyfed-Powys","4"
"White","Essex","1"
"White","Gloucestershire","2"
"White","Greater Manchester","1"
"White","Gwent","1"
"White","Hampshire","3"
"White","Hertfordshire","4"
"White","Humberside","1"
"White","Kent","3"
"White","Lancashire","2"
"White","Leicestershire","1"
"White","Lincolnshire","3"
"White","London, City of","N/A"
"White","Merseyside","7"
"White","Metropolitan Police","9"
"White","Norfolk","2"
"White","North Wales","2"
"White","North Yorkshire","2"
"White","Northamptonshire","1"
"White","Northumbria","2"
"White","Nottinghamshire","1"
"White","South Wales","4"
"White","South Yorkshire","1"
"White","Staffordshire","2"
"White","Suffolk","1"
"White","Surrey","4"
"White","Sussex","3"
"White","Thames Valley","2"
"White","Warwickshire","3"
"White","West Mercia","3"
"White","West Midlands","3"
"White","West Yorkshire","2"
"White","Wiltshire","1"
"Other inc Chinese","All - including BTP","5"
"Other inc Chinese","Avon & Somerset","1"
"Other inc Chinese","Bedfordshire","2"
"Other inc Chinese","British Transport Police","N/A"
"Other inc Chinese","Cambridgeshire","1"
"Other inc Chinese","Cheshire","1"
"Other inc Chinese","Cleveland","2"
"Other inc Chinese","Cumbria","-"
"Other inc Chinese","Derbyshire","1"
"Other inc Chinese","Devon & Cornwall","3"
