"Year","Ethnicity","Number per 100,000"
"2016/17","Asian","82.1"
"2016/17","Black","272.1"
"2016/17","Mixed","157.0"
"2016/17","White","67.0"
"2016/17","Other","179.6"
"2017/18","Asian","91.9"
"2017/18","Black","288.7"
"2017/18","Mixed","158.4"
"2017/18","White","71.8"
"2017/18","Other","180.3"
