"Ethnicity","Academic year","1st class","Upper 2nd class","Lower 2nd, 3rd class or pass"
"Asian","2012/13","13.5","46.3","40.2"
"Asian","2013/14","15.0","48.1","36.9"
"Asian","2014/15","17.7","47.5","34.8"
"Asian","2015/16","18.4","48.0","33.5"
"Asian","2016/17","20.8","48.4","30.8"
"Asian","2017/18","22.7","47.9","29.5"
"Asian","2018/19","23.0","47.5","29.5"
"Black","2012/13","7.5","39.3","53.2"
"Black","2013/14","8.8","40.8","50.5"
"Black","2014/15","9.8","41.0","49.2"
"Black","2015/16","10.9","42.2","46.9"
"Black","2016/17","12.3","43.3","44.5"
"Black","2017/18","14.0","43.5","42.5"
"Black","2018/19","14.5","44.3","41.2"
"Mixed","2012/13","16.4","50.7","32.9"
"Mixed","2013/14","18.1","52.7","29.3"
"Mixed","2014/15","19.6","52.5","27.9"
"Mixed","2015/16","20.9","51.6","27.5"
"Mixed","2016/17","24.2","50.3","25.5"
"Mixed","2017/18","26.3","50.9","22.8"
"Mixed","2018/19","26.2","50.4","23.4"
"White","2012/13","20.4","52.8","26.8"
"White","2013/14","22.4","53.3","24.4"
"White","2014/15","24.7","52.4","22.9"
"White","2015/16","26.4","52.0","21.7"
"White","2016/17","28.6","50.9","20.5"
"White","2017/18","30.9","50.0","19.1"
"White","2018/19","31.5","49.9","18.6"
"Other","2012/13","13.3","46.2","40.5"
"Other","2013/14","15.0","47.5","37.5"
"Other","2014/15","17.1","45.5","37.4"
"Other","2015/16","17.7","47.1","35.3"
"Other","2016/17","20.5","46.8","32.8"
"Other","2017/18","21.8","46.1","32.2"
"Other","2018/19","22.7","44.6","32.5"
"Unknown","2012/13","14.4","37.5","48.0"
"Unknown","2013/14","14.8","37.7","47.5"
"Unknown","2014/15","15.3","36.4","48.4"
"Unknown","2015/16","15.1","36.2","48.7"
"Unknown","2016/17","16.9","37.1","46.0"
"Unknown","2017/18","18.4","35.3","46.3"
"Unknown","2018/19","18.6","36.1","45.4"
