"Ethnicity","3 year period","£"
"All","2008/09 to 2010/11","531"
"All","2009/10 to 2011/12","538"
"All","2010/11 to 2012/13","532"
"All","2011/12 to 2013/14","531"
"All","2012/13 to 2014/15","540"
"All","2013/14 to 2015/16","547"
"All","2014/15 to 2016/17","556"
"All","2015/16 to 2017/18","556"
"All","2016/17 to 2018/19","558"
"All","2017/18 to 2019/20","556"
"Asian","2008/09 to 2010/11","447"
"Asian","2009/10 to 2011/12","463"
"Asian","2010/11 to 2012/13","466"
"Asian","2011/12 to 2013/14","484"
"Asian","2012/13 to 2014/15","453"
"Asian","2013/14 to 2015/16","427"
"Asian","2014/15 to 2016/17","425"
"Asian","2015/16 to 2017/18","404"
"Asian","2016/17 to 2018/19","408"
"Asian","2017/18 to 2019/20","391"
"Black","2008/09 to 2010/11","420"
"Black","2009/10 to 2011/12","420"
"Black","2010/11 to 2012/13","393"
"Black","2011/12 to 2013/14","385"
"Black","2012/13 to 2014/15","398"
"Black","2013/14 to 2015/16","400"
"Black","2014/15 to 2016/17","404"
"Black","2015/16 to 2017/18","387"
"Black","2016/17 to 2018/19","433"
"Black","2017/18 to 2019/20","412"
"Mixed","2008/09 to 2010/11","467"
"Mixed","2009/10 to 2011/12","539"
"Mixed","2010/11 to 2012/13","?"
"Mixed","2011/12 to 2013/14","?"
"Mixed","2012/13 to 2014/15","474"
"Mixed","2013/14 to 2015/16","513"
"Mixed","2014/15 to 2016/17","530"
"Mixed","2015/16 to 2017/18","506"
"Mixed","2016/17 to 2018/19","563"
"Mixed","2017/18 to 2019/20","515"
"White","2008/09 to 2010/11","534"
"White","2009/10 to 2011/12","541"
"White","2010/11 to 2012/13","536"
"White","2011/12 to 2013/14","534"
"White","2012/13 to 2014/15","544"
"White","2013/14 to 2015/16","552"
"White","2014/15 to 2016/17","561"
"White","2015/16 to 2017/18","562"
"White","2016/17 to 2018/19","564"
"White","2017/18 to 2019/20","564"
"White British","2008/09 to 2010/11","535"
"White British","2009/10 to 2011/12","541"
"White British","2010/11 to 2012/13","536"
"White British","2011/12 to 2013/14","535"
"White British","2012/13 to 2014/15","545"
"White British","2013/14 to 2015/16","554"
"White British","2014/15 to 2016/17","563"
"White British","2015/16 to 2017/18","564"
"White British","2016/17 to 2018/19","566"
"White British","2017/18 to 2019/20","566"
"White Other","2008/09 to 2010/11","523"
"White Other","2009/10 to 2011/12","529"
"White Other","2010/11 to 2012/13","508"
"White Other","2011/12 to 2013/14","499"
"White Other","2012/13 to 2014/15","494"
"White Other","2013/14 to 2015/16","498"
"White Other","2014/15 to 2016/17","507"
"White Other","2015/16 to 2017/18","499"
"White Other","2016/17 to 2018/19","496"
"White Other","2017/18 to 2019/20","481"
"Other","2008/09 to 2010/11","511"
"Other","2009/10 to 2011/12","517"
"Other","2010/11 to 2012/13","570"
"Other","2011/12 to 2013/14","577"
"Other","2012/13 to 2014/15","654"
"Other","2013/14 to 2015/16","607"
"Other","2014/15 to 2016/17","646"
"Other","2015/16 to 2017/18","595"
"Other","2016/17 to 2018/19","529"
"Other","2017/18 to 2019/20","543"
