"Ethnicity","3 year period","£"
"All","2008/09 to 2010/11","169"
"All","2009/10 to 2011/12","173"
"All","2010/11 to 2012/13","175"
"All","2011/12 to 2013/14","177"
"All","2012/13 to 2014/15","181"
"All","2013/14 to 2015/16","183"
"All","2014/15 to 2016/17","187"
"All","2015/16 to 2017/18","190"
"All","2016/17 to 2018/19","192"
"All","2017/18 to 2019/20","194"
"Asian","2008/09 to 2010/11","140"
"Asian","2009/10 to 2011/12","137"
"Asian","2010/11 to 2012/13","129"
"Asian","2011/12 to 2013/14","129"
"Asian","2012/13 to 2014/15","133"
"Asian","2013/14 to 2015/16","136"
"Asian","2014/15 to 2016/17","137"
"Asian","2015/16 to 2017/18","136"
"Asian","2016/17 to 2018/19","144"
"Asian","2017/18 to 2019/20","145"
"Black","2008/09 to 2010/11","135"
"Black","2009/10 to 2011/12","143"
"Black","2010/11 to 2012/13","138"
"Black","2011/12 to 2013/14","138"
"Black","2012/13 to 2014/15","135"
"Black","2013/14 to 2015/16","141"
"Black","2014/15 to 2016/17","138"
"Black","2015/16 to 2017/18","142"
"Black","2016/17 to 2018/19","145"
"Black","2017/18 to 2019/20","150"
"Mixed","2008/09 to 2010/11","138"
"Mixed","2009/10 to 2011/12","144"
"Mixed","2010/11 to 2012/13","?"
"Mixed","2011/12 to 2013/14","?"
"Mixed","2012/13 to 2014/15","159"
"Mixed","2013/14 to 2015/16","156"
"Mixed","2014/15 to 2016/17","153"
"Mixed","2015/16 to 2017/18","163"
"Mixed","2016/17 to 2018/19","180"
"Mixed","2017/18 to 2019/20","178"
"White","2008/09 to 2010/11","170"
"White","2009/10 to 2011/12","174"
"White","2010/11 to 2012/13","177"
"White","2011/12 to 2013/14","179"
"White","2012/13 to 2014/15","183"
"White","2013/14 to 2015/16","185"
"White","2014/15 to 2016/17","189"
"White","2015/16 to 2017/18","192"
"White","2016/17 to 2018/19","194"
"White","2017/18 to 2019/20","197"
"White British","2008/09 to 2010/11","171"
"White British","2009/10 to 2011/12","175"
"White British","2010/11 to 2012/13","177"
"White British","2011/12 to 2013/14","180"
"White British","2012/13 to 2014/15","183"
"White British","2013/14 to 2015/16","186"
"White British","2014/15 to 2016/17","190"
"White British","2015/16 to 2017/18","193"
"White British","2016/17 to 2018/19","195"
"White British","2017/18 to 2019/20","198"
"White Other","2008/09 to 2010/11","157"
"White Other","2009/10 to 2011/12","151"
"White Other","2010/11 to 2012/13","149"
"White Other","2011/12 to 2013/14","149"
"White Other","2012/13 to 2014/15","156"
"White Other","2013/14 to 2015/16","153"
"White Other","2014/15 to 2016/17","151"
"White Other","2015/16 to 2017/18","152"
"White Other","2016/17 to 2018/19","153"
"White Other","2017/18 to 2019/20","155"
"Other","2008/09 to 2010/11","149"
"Other","2009/10 to 2011/12","152"
"Other","2010/11 to 2012/13","137"
"Other","2011/12 to 2013/14","135"
"Other","2012/13 to 2014/15","139"
"Other","2013/14 to 2015/16","154"
"Other","2014/15 to 2016/17","146"
"Other","2015/16 to 2017/18","146"
"Other","2016/17 to 2018/19","146"
"Other","2017/18 to 2019/20","152"
