"","up to £99","£100 to £199","£200 to £299","£300 to £399","£400 to £499","£500 to £599","£600 to £699","£700 to £799","£800 to £899","£900 to £999","£1,000 or above "
"Ethnicity","","","","","","","","","","",""
"All","2","6","11","12","11","9","8","7","6","5","25"
"Bangladeshi","1","3","8","12","16","12","11","9","3","3","20"
"Chinese","5","5","10","8","8","6","5","8","6","8","32"
"Indian","2","4","7","7","9","8","8","7","6","6","38"
"Pakistani","2","7","7","11","12","12","9","10","6","4","18"
"Asian other","2","4","8","9","11","9","9","8","5","6","30"
"Black","3","7","11","14","11","10","10","6","5","5","17"
"Mixed","3","5","15","10","10","9","7","9","6","4","22"
"White British","2","6","12","12","11","9","8","7","6","5","25"
"White other","2","4","9","9","10","9","9","7","5","5","30"
"Other","3","5","9","14","11","10","9","6","6","4","24"
