"Ethnicity","Broad grade","%","Headcount"
"Asian","All","7.6","80,435"
"Asian","Very Senior Manager","4.2","80"
"Asian","Senior (Bands 8a-9)","5.7","3,896"
"Asian","Middle (Bands 5-7)","8.4","44,059"
"Asian","Support (Bands 1-4)","7.1","31,258"
"Asian","Other grade","7.9","1,142"
"Black","All","6.0","63,722"
"Black","Very Senior Manager","1.0","19"
"Black","Senior (Bands 8a-9)","3.3","2,247"
"Black","Middle (Bands 5-7)","6.5","33,984"
"Black","Support (Bands 1-4)","6.0","26,667"
"Black","Other grade","5.5","805"
"Chinese","All","0.3","3,686"
"Chinese","Very Senior Manager","0.2","4"
"Chinese","Senior (Bands 8a-9)","0.6","404"
"Chinese","Middle (Bands 5-7)","0.4","2,343"
"Chinese","Support (Bands 1-4)","0.2","894"
"Chinese","Other grade","0.3","41"
"Mixed","All","1.5","15,995"
"Mixed","Very Senior Manager","0.7","13"
"Mixed","Senior (Bands 8a-9)","1.3","876"
"Mixed","Middle (Bands 5-7)","1.5","7,925"
"Mixed","Support (Bands 1-4)","1.6","6,926"
"Mixed","Other grade","1.8","255"
"White","All","82.5","870,344"
"White","Very Senior Manager","93.6","1,783"
"White","Senior (Bands 8a-9)","88.2","60,108"
"White","Middle (Bands 5-7)","80.9","425,997"
"White","Support (Bands 1-4)","83.6","370,380"
"White","Other grade","83.2","12,076"
"Other","All","1.9","20,301"
"Other","Very Senior Manager","0.3","6"
"Other","Senior (Bands 8a-9)","0.9","601"
"Other","Middle (Bands 5-7)","2.4","12,448"
"Other","Support (Bands 1-4)","1.6","7,057"
"Other","Other grade","1.3","189"
