"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"All","7.6","80,435","6.0","63,722","0.3","3,686","1.5","15,995","82.5","870,344","1.9","20,301"
"Very Senior Manager","4.2","80","1.0","19","0.2","4","0.7","13","93.6","1,783","0.3","6"
"Senior (Bands 8a-9)","5.7","3,896","3.3","2,247","0.6","404","1.3","876","88.2","60,108","0.9","601"
"Middle (Bands 5-7)","8.4","44,059","6.5","33,984","0.4","2,343","1.5","7,925","80.9","425,997","2.4","12,448"
"Support (Bands 1-4)","7.1","31,258","6.0","26,667","0.2","894","1.6","6,926","83.6","370,380","1.6","7,057"
"Other grade","7.9","1,142","5.5","805","0.3","41","1.8","255","83.2","12,076","1.3","189"
