"Gender","Ethnicity","%","Sample size"
"All","Asian","79","5,323"
"All","Black","71","2,775"
"All","Mixed","70","1,032"
"All","White","78","92,637"
"All","Other","78","817"
"Men","Asian","78","2,635"
"Men","Black","70","1,161"
"Men","Mixed","71","434"
"Men","White","77","42,237"
"Men","Other","77","425"
"Women","Asian","80","2,688"
"Women","Black","72","1,614"
"Women","Mixed","68","598"
"Women","White","79","50,400"
"Women","Other","78","392"
