"Ethnicity","Geography","Rate per 1,000","Number of arrests"
"Mixed","South Yorkshire","21","434"
"Mixed","Staffordshire","11","161"
"Mixed","Suffolk","7","90"
"Mixed","Surrey","15","363"
"Mixed","Sussex","17","512"
"Mixed","Thames Valley","34","1,892"
"Mixed","Warwickshire","5","43"
"Mixed","West Mercia","5","71"
"Mixed","West Midlands","17","1,633"
"Mixed","West Yorkshire","27","1,315"
"Mixed","Wiltshire","15","148"
"White","All","9","422,037"
"White","Avon and Somerset","7","10,334"
"White","Bedfordshire","6","2,733"
"White","Cambridgeshire","3","2,444"
"White","Cheshire","8","8,392"
"White","Cleveland","21","11,188"
"White","Cumbria","13","6,533"
"White","Derbyshire","10","9,160"
"White","Devon and Cornwall","7","11,393"
"White","Dorset","7","4,786"
"White","Durham","11","6,919"
"White","Dyfed-Powys","9","4,454"
"White","Essex","7","11,783"
"White","Gloucestershire","7","4,012"
"White","Greater Manchester","7","14,919"
"White","Gwent","13","7,094"
"White","Hampshire","8","13,395"
"White","Hertfordshire","5","4,569"
"White","Humberside","10","8,623"
"White","Kent","5","7,620"
"White","Lancashire","4","4,634"
"White","Leicestershire","8","6,405"
"White","Lincolnshire","8","5,580"
"White","London, City of","N/A","636"
"White","Merseyside","11","14,954"
"White","Metropolitan Police","10","49,060"
"White","Norfolk","5","3,786"
"White","North Wales","19","12,807"
"White","North Yorkshire","11","8,182"
"White","Northamptonshire","8","5,337"
"White","Northumbria","15","19,588"
"White","Nottinghamshire","8","7,416"
"White","South Wales","13","15,040"
"White","South Yorkshire","14","16,443"
"White","Staffordshire","5","5,037"
"White","Suffolk","5","3,295"
"White","Surrey","7","6,967"
"White","Sussex","10","14,336"
"White","Thames Valley","11","21,961"
"White","Warwickshire","3","1,317"
"White","West Mercia","3","3,427"
"White","West Midlands","9","16,643"
"White","West Yorkshire","14","24,597"
"White","Wiltshire","7","4,238"
"Other","All","18","9,935"
"Other","Avon and Somerset","27","175"
"Other","Bedfordshire","25","125"
"Other","Cambridgeshire","11","55"
"Other","Cheshire","69","139"
"Other","Cleveland","42","95"
"Other","Cumbria","97","44"
"Other","Derbyshire","43","183"
"Other","Devon and Cornwall","13","47"
"Other","Dorset","24","61"
"Other","Durham","0","0"
"Other","Dyfed-Powys","15","15"
"Other","Essex","20","145"
"Other","Gloucestershire","29","32"
"Other","Greater Manchester","11","308"
"Other","Gwent","57","112"
"Other","Hampshire","17","150"
"Other","Hertfordshire","14","100"
"Other","Humberside","49","174"
"Other","Kent","20","171"
"Other","Lancashire","9","40"
"Other","Leicestershire","12","132"
"Other","Lincolnshire","48","53"
"Other","London, City of","N/A","58"
"Other","Merseyside","22","223"
"Other","Metropolitan Police","17","4,725"
"Other","Norfolk","10","23"
"Other","North Wales","69","132"
"Other","North Yorkshire","14","29"
"Other","Northamptonshire","32","83"
"Other","Northumbria","3","20"
"Other","Nottinghamshire","26","171"
"Other","South Wales","21","217"
"Other","South Yorkshire","21","324"
"Other","Staffordshire","26","90"
"Other","Suffolk","14","36"
"Other","Surrey","13","121"
"Other","Sussex","25","208"
"Other","Thames Valley","16","258"
"Other","Warwickshire","7","17"
"Other","West Mercia","16","34"
"Other","West Midlands","10","440"
"Other","West Yorkshire","16","330"
"Other","Wiltshire","22","40"
