"Ethnicity","Local authority","%"
"Asian","Isles of Scilly","!"
"Asian","Islington","79"
"Asian","Kensington and Chelsea","80"
"Asian","Kent","83"
"Asian","Kingston upon Hull, City of","76"
"Asian","Kingston upon Thames","78"
"Asian","Kirklees","74"
"Asian","Knowsley","84"
"Asian","Lambeth","80"
"Asian","Lancashire","71"
"Asian","Leeds","67"
"Asian","Leicester","78"
"Asian","Leicestershire","83"
"Asian","Lewisham","78"
"Asian","Lincolnshire","85"
"Asian","Liverpool","74"
"Asian","Luton","76"
"Asian","Manchester","73"
"Asian","Medway","85"
"Asian","Merton","85"
"Asian","Middlesbrough","66"
"Asian","Milton Keynes","83"
"Asian","Newcastle upon Tyne","76"
"Asian","Newham","84"
"Asian","Norfolk","84"
"Asian","North East Lincolnshire","81"
"Asian","North Lincolnshire","73"
"Asian","North Somerset","75"
"Asian","North Tyneside","74"
"Asian","North Yorkshire","71"
"Asian","Northamptonshire","81"
"Asian","Northumberland","82"
"Asian","Nottingham","72"
"Asian","Nottinghamshire","78"
"Asian","Oldham","69"
"Asian","Oxfordshire","74"
"Asian","Peterborough","68"
"Asian","Plymouth","78"
"Asian","Portsmouth","79"
"Asian","Reading","77"
"Asian","Redbridge","83"
"Asian","Redcar and Cleveland","75"
"Asian","Richmond upon Thames","82"
"Asian","Rochdale","68"
"Asian","Rotherham","73"
"Asian","Rutland","67"
"Asian","Salford","80"
"Asian","Sandwell","77"
"Asian","Sefton","75"
"Asian","Sheffield","70"
"Asian","Shropshire","58"
"Asian","Slough","80"
"Asian","Solihull","79"
"Asian","Somerset","79"
"Asian","South Gloucestershire","90"
"Asian","South Tyneside","77"
"Asian","Southampton","75"
"Asian","Southend-on-Sea","78"
"Asian","Southwark","75"
"Asian","St. Helens","77"
"Asian","Staffordshire","79"
"Asian","Stockport","73"
"Asian","Stockton-on-Tees","81"
"Asian","Stoke-on-Trent","74"
"Asian","Suffolk","77"
"Asian","Sunderland","75"
"Asian","Surrey","81"
"Asian","Sutton","89"
"Asian","Swindon","81"
"Asian","Tameside","73"
"Asian","Telford and Wrekin","72"
"Asian","Thurrock","84"
"Asian","Torbay","83"
"Asian","Tower Hamlets","78"
"Asian","Trafford","82"
"Asian","Wakefield","68"
"Asian","Walsall","81"
"Asian","Waltham Forest","81"
"Asian","Wandsworth","77"
"Asian","Warrington","80"
"Asian","Warwickshire","82"
"Asian","West Berkshire","82"
"Asian","West Sussex","75"
"Asian","Westminster","83"
"Asian","Wigan","80"
"Asian","Wiltshire","69"
"Asian","Windsor and Maidenhead","78"
"Asian","Wirral","76"
"Asian","Wokingham","85"
"Asian","Wolverhampton","82"
"Asian","Worcestershire","71"
"Asian","York","81"
"Black","Barking and Dagenham","78"
"Black","Barnet","77"
"Black","Barnsley","71"
"Black","Bath and North East Somerset","80"
"Black","Bedford","74"
"Black","Bexley","82"
"Black","Birmingham","73"
"Black","Blackburn with Darwen","67"
"Black","Blackpool","55"
"Black","Bolton","64"
"Black","Bournemouth, Christchurch and Poole","74"
"Black","Bracknell Forest","83"
"Black","Bradford","73"
"Black","Brent","74"
"Black","Brighton and Hove","80"
"Black","Bristol, City of","67"
"Black","Bromley","77"
"Black","Buckinghamshire","69"
"Black","Bury","71"
"Black","Calderdale","71"
"Black","Cambridgeshire","69"
"Black","Camden","73"
"Black","Central Bedfordshire","74"
"Black","Cheshire East","53"
"Black","Cheshire West and Chester","57"
"Black","City of London","!"
"Black","Cornwall","43"
"Black","County Durham","92"
"Black","Coventry","72"
"Black","Croydon","76"
"Black","Cumbria","50"
"Black","Darlington","82"
"Black","Derby","76"
"Black","Derbyshire","90"
"Black","Devon","80"
"Black","Doncaster","75"
"Black","Dorset","67"
"Black","Dudley","67"
"Black","Ealing","69"
"Black","East Riding of Yorkshire","100"
"Black","East Sussex","75"
"Black","Enfield","70"
"Black","Essex","77"
"Black","Gateshead","69"
"Black","Gloucestershire","74"
"Black","Greenwich","83"
"Black","Hackney","77"
"Black","Halton","100"
"Black","Hammersmith and Fulham","74"
"Black","Hampshire","80"
"Black","Haringey","74"
"Black","Harrow","74"
"Black","Hartlepool","83"
"Black","Havering","80"
"Black","Herefordshire, County of","77"
"Black","Hertfordshire","72"
"Black","Hillingdon","77"
"Black","Hounslow","73"
"Black","Isle of Wight","75"
"Black","Isles of Scilly","!"
"Black","Islington","74"
"Black","Kensington and Chelsea","81"
"Black","Kent","83"
"Black","Kingston upon Hull, City of","66"
"Black","Kingston upon Thames","70"
"Black","Kirklees","77"
"Black","Knowsley","81"
"Black","Lambeth","74"
"Black","Lancashire","76"
"Black","Leeds","69"
"Black","Leicester","70"
"Black","Leicestershire","72"
"Black","Lewisham","71"
"Black","Lincolnshire","74"
"Black","Liverpool","70"
"Black","Luton","70"
"Black","Manchester","74"
"Black","Medway","85"
"Black","Merton","66"
"Black","Middlesbrough","65"
"Black","Milton Keynes","76"
"Black","Newcastle upon Tyne","73"
"Black","Newham","79"
"Black","Norfolk","66"
"Black","North East Lincolnshire","100"
"Black","North Lincolnshire","71"
"Black","North Somerset","75"
"Black","North Tyneside","78"
"Black","North Yorkshire","57"
"Black","Northamptonshire","73"
"Black","Northumberland","40"
"Black","Nottingham","75"
"Black","Nottinghamshire","68"
"Black","Oldham","74"
"Black","Oxfordshire","75"
"Black","Peterborough","63"
"Black","Plymouth","70"
"Black","Portsmouth","63"
"Black","Reading","71"
"Black","Redbridge","77"
"Black","Redcar and Cleveland","100"
"Black","Richmond upon Thames","70"
"Black","Rochdale","71"
"Black","Rotherham","72"
"Black","Rutland","83"
"Black","Salford","76"
"Black","Sandwell","75"
"Black","Sefton","62"
"Black","Sheffield","76"
"Black","Shropshire","88"
"Black","Slough","73"
"Black","Solihull","66"
"Black","Somerset","65"
"Black","South Gloucestershire","77"
"Black","South Tyneside","93"
"Black","Southampton","80"
"Black","Southend-on-Sea","88"
"Black","Southwark","77"
"Black","St. Helens","64"
"Black","Staffordshire","74"
"Black","Stockport","66"
"Black","Stockton-on-Tees","77"
"Black","Stoke-on-Trent","68"
"Black","Suffolk","72"
"Black","Sunderland","75"
"Black","Surrey","74"
"Black","Sutton","77"
"Black","Swindon","82"
"Black","Tameside","61"
"Black","Telford and Wrekin","71"
"Black","Thurrock","82"
"Black","Torbay","50"
"Black","Tower Hamlets","74"
"Black","Trafford","69"
"Black","Wakefield","77"
"Black","Walsall","66"
"Black","Waltham Forest","76"
"Black","Wandsworth","72"
"Black","Warrington","75"
"Black","Warwickshire","83"
"Black","West Berkshire","54"
"Black","West Sussex","58"
"Black","Westminster","72"
"Black","Wigan","78"
"Black","Wiltshire","71"
"Black","Windsor and Maidenhead","78"
"Black","Wirral","70"
"Black","Wokingham","71"
"Black","Wolverhampton","70"
"Black","Worcestershire","61"
"Black","York","82"
"Chinese","Barking and Dagenham","89"
"Chinese","Barnet","91"
"Chinese","Barnsley","N/A"
"Chinese","Bath and North East Somerset","89"
"Chinese","Bedford","100"
"Chinese","Bexley","93"
"Chinese","Birmingham","93"
"Chinese","Blackburn with Darwen","100"
"Chinese","Blackpool","80"
"Chinese","Bolton","86"
"Chinese","Bournemouth, Christchurch and Poole","96"
"Chinese","Bracknell Forest","100"
"Chinese","Bradford","100"
"Chinese","Brent","93"
"Chinese","Brighton and Hove","86"
"Chinese","Bristol, City of","100"
"Chinese","Bromley","95"
"Chinese","Buckinghamshire","92"
"Chinese","Bury","87"
"Chinese","Calderdale","80"
"Chinese","Cambridgeshire","90"
"Chinese","Camden","92"
"Chinese","Central Bedfordshire","90"
"Chinese","Cheshire East","67"
"Chinese","Cheshire West and Chester","86"
"Chinese","City of London","!"
"Chinese","Cornwall","73"
"Chinese","County Durham","93"
"Chinese","Coventry","96"
"Chinese","Croydon","86"
"Chinese","Cumbria","86"
"Chinese","Darlington","100"
"Chinese","Derby","84"
"Chinese","Derbyshire","79"
"Chinese","Devon","81"
"Chinese","Doncaster","93"
"Chinese","Dorset","100"
"Chinese","Dudley","86"
"Chinese","Ealing","78"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","89"
"Chinese","Enfield","95"
"Chinese","Essex","95"
"Chinese","Gateshead","90"
"Chinese","Gloucestershire","92"
"Chinese","Greenwich","91"
"Chinese","Hackney","81"
"Chinese","Halton","N/A"
"Chinese","Hammersmith and Fulham","86"
"Chinese","Hampshire","89"
"Chinese","Haringey","91"
"Chinese","Harrow","100"
"Chinese","Hartlepool","100"
"Chinese","Havering","92"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","90"
"Chinese","Hillingdon","91"
"Chinese","Hounslow","100"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","92"
"Chinese","Kensington and Chelsea","88"
"Chinese","Kent","95"
"Chinese","Kingston upon Hull, City of","67"
"Chinese","Kingston upon Thames","100"
"Chinese","Kirklees","94"
"Chinese","Knowsley","71"
"Chinese","Lambeth","100"
"Chinese","Lancashire","91"
"Chinese","Leeds","86"
"Chinese","Leicester","92"
"Chinese","Leicestershire","86"
"Chinese","Lewisham","92"
"Chinese","Lincolnshire","89"
"Chinese","Liverpool","88"
"Chinese","Luton","82"
"Chinese","Manchester","92"
