"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Boys","6-7","77","%","721","555"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Girls","6-7","78","%","727","569"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","All","6-7","74","%","7865","5820"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","Boys","6-7","72","%","3993","2878"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","Girls","6-7","76","%","3872","2942"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","All","6-7","76","%","3881","2949"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","Boys","6-7","74","%","1987","1464"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","Girls","6-7","78","%","1894","1485"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All","6-7","76","%","2676","2044"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","Boys","6-7","74","%","1324","981"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","Girls","6-7","79","%","1352","1063"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All","6-7","75","%","5351","4004"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","Boys","6-7","76","%","2700","2039"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","Girls","6-7","74","%","2651","1965"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","All","6-7","80","%","3995","3211"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","Boys","6-7","79","%","2004","1588"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","Girls","6-7","82","%","1991","1623"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All","6-7","76","%","6575","5022"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","Boys","6-7","76","%","3346","2531"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","Girls","6-7","77","%","3229","2491"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bury","Local authority","E08000002","All","6-7","74","%","2484","1826"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bury","Local authority","E08000002","Boys","6-7","72","%","1253","905"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bury","Local authority","E08000002","Girls","6-7","75","%","1231","921"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Calderdale","Local authority","E08000033","All","6-7","73","%","2873","2095"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Calderdale","Local authority","E08000033","Boys","6-7","73","%","1456","1068"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Calderdale","Local authority","E08000033","Girls","6-7","72","%","1417","1027"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","All","6-7","75","%","7574","5668"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","Boys","6-7","74","%","3876","2865"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","Girls","6-7","76","%","3698","2803"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Camden","Local authority","E09000007","All","6-7","75","%","1571","1179"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Camden","Local authority","E09000007","Boys","6-7","75","%","788","590"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Camden","Local authority","E09000007","Girls","6-7","75","%","783","589"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","All","6-7","77","%","3656","2825"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","Boys","6-7","76","%","1851","1414"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","Girls","6-7","78","%","1805","1411"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All","6-7","76","%","4363","3323"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","Boys","6-7","77","%","2257","1732"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","Girls","6-7","76","%","2106","1591"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All","6-7","73","%","4069","2984"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","Boys","6-7","72","%","2137","1544"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","Girls","6-7","75","%","1932","1440"
