"","All","","Under 19","","19-24","","25+",""
"Ethnicity","%","Starts","%","Starts","%","Starts","%","Starts"
"Asian","5.5","21,370","0.8","3,210","1.9","7,250","2.8","10,910"
"Black","3.5","13,510","0.4","1,370","0.8","3,030","2.4","9,110"
"Mixed","2.7","10,520","0.7","2,690","0.9","3,460","1.1","4,370"
"White","87.5","338,330","23.1","89,170","25.9","100,030","38.6","149,130"
"Other","0.8","2,990","0.1","390","0.2","730","0.5","1,870"
