"Ethnicity","Geography","%"
"All","England","84"
"All","East of England","84"
"All","London","77"
"All","Midlands","84"
"All","North East and Yorkshire","87"
"All","North West","85"
"All","South East of England","86"
"All","South West of England","87"
"Other","England","71"
"Other","East of England","74"
"Other","London","67"
"Other","Midlands","71"
"Other","North East and Yorkshire","74"
"Other","North West","73"
"Other","South East of England","77"
"Other","South West of England","75"
"White","England","87"
"White","East of England","86"
"White","London","84"
"White","Midlands","87"
"White","North East and Yorkshire","88"
"White","North West","87"
"White","South East of England","88"
"White","South West of England","88"
