"Threshold","Ethnicity","%"
"Low","All","4.41"
"Low","Bangladeshi","?"
"Low","Chinese","?"
"Low","Indian","3.27"
"Low","Pakistani","4.97"
"Low","Asian other","?"
"Low","Black","6.38"
"Low","Mixed","7.09"
"Low","White","4.35"
"Low","White Gypsy / Traveller","?"
"Low","Arab","?"
"Low","Other","4.30"
"Medium","All","13.40"
"Medium","Bangladeshi","18.99"
"Medium","Chinese","16.02"
"Medium","Indian","14.22"
"Medium","Pakistani","16.00"
"Medium","Asian other","15.19"
"Medium","Black","23.06"
"Medium","Mixed","16.03"
"Medium","White","12.87"
"Medium","White Gypsy / Traveller","?"
"Medium","Arab","15.52"
"Medium","Other","15.96"
"High","All","51.43"
"High","Bangladeshi","48.30"
"High","Chinese","57.44"
"High","Indian","50.57"
"High","Pakistani","46.33"
"High","Asian other","50.81"
"High","Black","43.38"
"High","Mixed","52.35"
"High","White","52.13"
"High","White Gypsy / Traveller","?"
"High","Arab","43.88"
"High","Other","53.52"
"Very High","All","30.46"
"Very High","Bangladeshi","28.22"
"Very High","Chinese","24.20"
"Very High","Indian","31.94"
"Very High","Pakistani","32.70"
"Very High","Asian other","31.38"
"Very High","Black","27.17"
"Very High","Mixed","24.53"
"Very High","White","30.66"
"Very High","White Gypsy / Traveller","?"
"Very High","Arab","33.16"
"Very High","Other","26.22"
