"Year","Ethnicity","%"
"2012","All","26.17"
"2012","Bangladeshi","27.50"
"2012","Chinese","16.78"
"2012","Indian","28.76"
"2012","Pakistani","27.45"
"2012","Asian other","26.93"
"2012","Black","18.86"
"2012","Mixed","18.76"
"2012","White","26.47"
"2012","White Gypsy / Traveller","?"
"2012","Arab","22.39"
"2012","Other","21.43"
"2013","All","26.73"
"2013","Bangladeshi","26.23"
"2013","Chinese","15.40"
"2013","Indian","26.57"
"2013","Pakistani","29.72"
"2013","Asian other","28.17"
"2013","Black","21.15"
"2013","Mixed","24.90"
"2013","White","26.96"
"2013","White Gypsy / Traveller","?"
"2013","Arab","22.32"
"2013","Other","25.67"
"2014","All","28.24"
"2014","Bangladeshi","30.88"
"2014","Chinese","19.02"
"2014","Indian","30.38"
"2014","Pakistani","29.44"
"2014","Asian other","28.95"
"2014","Black","22.65"
"2014","Mixed","22.19"
"2014","White","28.48"
"2014","White Gypsy / Traveller","?"
"2014","Arab","24.04"
"2014","Other","25.32"
"2015","All","29.13"
"2015","Bangladeshi","32.98"
"2015","Chinese","23.44"
"2015","Indian","28.76"
"2015","Pakistani","30.99"
"2015","Asian other","28.36"
"2015","Black","24.49"
"2015","Mixed","23.97"
"2015","White","29.38"
"2015","White Gypsy / Traveller","?"
"2015","Arab","26.53"
"2015","Other","26.63"
"2016","All","29.63"
"2016","Bangladeshi","30.54"
"2016","Chinese","25.61"
"2016","Indian","32.94"
"2016","Pakistani","34.20"
"2016","Asian other","28.18"
"2016","Black","24.46"
"2016","Mixed","20.66"
"2016","White","29.79"
"2016","White Gypsy / Traveller","?"
"2016","Arab","33.04"
"2016","Other","27.29"
"2017","All","30.13"
"2017","Bangladeshi","31.37"
"2017","Chinese","21.78"
"2017","Indian","31.59"
"2017","Pakistani","34.73"
"2017","Asian other","31.31"
"2017","Black","25.19"
"2017","Mixed","22.54"
"2017","White","30.35"
"2017","White Gypsy / Traveller","?"
"2017","Arab","23.82"
"2017","Other","27.99"
"2018","All","30.46"
"2018","Bangladeshi","28.22"
"2018","Chinese","24.20"
"2018","Indian","31.94"
"2018","Pakistani","32.70"
"2018","Asian other","31.38"
"2018","Black","27.17"
"2018","Mixed","24.53"
"2018","White","30.66"
"2018","White Gypsy / Traveller","?"
"2018","Arab","33.16"
"2018","Other","26.22"
