"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","%","%","%","%","%","%","%"
"All","26.17","26.73","28.24","29.13","29.63","30.13","30.46"
"Bangladeshi","27.50","26.23","30.88","32.98","30.54","31.37","28.22"
"Chinese","16.78","15.40","19.02","23.44","25.61","21.78","24.20"
"Indian","28.76","26.57","30.38","28.76","32.94","31.59","31.94"
"Pakistani","27.45","29.72","29.44","30.99","34.20","34.73","32.70"
"Asian other","26.93","28.17","28.95","28.36","28.18","31.31","31.38"
"Black","18.86","21.15","22.65","24.49","24.46","25.19","27.17"
"Mixed","18.76","24.90","22.19","23.97","20.66","22.54","24.53"
"White","26.47","26.96","28.48","29.38","29.79","30.35","30.66"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","22.39","22.32","24.04","26.53","33.04","23.82","33.16"
"Other","21.43","25.67","25.32","26.63","27.29","27.99","26.22"
