"","UK","","England","","Scotland","","Wales","","Northern Ireland",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number"
"Ethnic minorities (exc White minorities)","5","226,552","6","218,165","3","4,560","0","0","1","599"
"White","91","3,937,813","91","3,462,822","94","236,511","95","147,166","95","91,686"
"Unknown","4","163,458","4","144,857","3","7,068","5","7,476","4","4,131"
