"Benefit","Ethnicity","%"
"Child tax credit","All","9"
"Child tax credit","Asian","15"
"Child tax credit","Bangladeshi","27"
"Child tax credit","Chinese","5"
"Child tax credit","Indian","7"
"Child tax credit","Pakistani","22"
"Child tax credit","Asian other","15"
"Child tax credit","Black","17"
"Child tax credit","Mixed","14"
"Child tax credit","White","8"
"Child tax credit","White British","8"
"Child tax credit","White other","10"
"Child tax credit","Other","14"
"Working Tax Credit","All","5"
"Working Tax Credit","Asian","9"
"Working Tax Credit","Bangladeshi","16"
"Working Tax Credit","Chinese","4"
"Working Tax Credit","Indian","4"
"Working Tax Credit","Pakistani","14"
"Working Tax Credit","Asian other","9"
"Working Tax Credit","Black","8"
"Working Tax Credit","Mixed","8"
"Working Tax Credit","White","4"
"Working Tax Credit","White British","4"
"Working Tax Credit","White other","6"
"Working Tax Credit","Other","9"
