"","Child tax credit","Working Tax Credit"
"Ethnicity","%","%"
"All","9","5"
"Asian","15","9"
"Bangladeshi","27","16"
"Chinese","5","4"
"Indian","7","4"
"Pakistani","22","14"
"Asian other","15","9"
"Black","17","8"
"Mixed","14","8"
"White","8","4"
"White British","8","4"
"White other","10","6"
"Other","14","9"
