"","White British","","","Other than White British","",""
"Socio-economic group","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","5","378","7,684","10","163","1,629"
"Intermediate occupations","12","474","3,958","19","150","792"
"Routine and manual occupations","31","1,837","6,010","29","415","1,427"
