"","White British","","","Other than White British","",""
"Age group","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"16 - 24","25","146","580","15","30","202"
"25 - 34","19","429","2,297","16","160","1,009"
"35 - 44","17","458","2,773","20","240","1,218"
"45 - 54","16","598","3,705","22","190","844"
"55 - 64","15","504","3,373","26","132","499"
"65 or over","15","931","6,136","25","131","526"
