"Category","Ethnicity","%","Number"
"All","All","100.0","1,150"
"All","Asian","7.6","87"
"All","Black","3.0","35"
"All","Mixed","2.3","26"
"All","White","85.7","985"
"All","Other","1.5","17"
"Higher","All","100.0","30"
"Higher","Asian","0.0","0"
"Higher","Black","3.3","1"
"Higher","Mixed","0.0","0"
"Higher","White","96.7","29"
"Higher","Other","0.0","0"
"CBE","All","100.0","86"
"CBE","Asian","9.3","8"
"CBE","Black","1.2","1"
"CBE","Mixed","1.2","1"
"CBE","White","86.0","74"
"CBE","Other","2.3","2"
"OBE","All","100.0","233"
"OBE","Asian","6.4","15"
"OBE","Black","3.0","7"
"OBE","Mixed","3.4","8"
"OBE","White","85.8","200"
"OBE","Other","1.3","3"
"MBE","All","100.0","447"
"MBE","Asian","8.3","37"
"MBE","Black","4.5","20"
"MBE","Mixed","1.8","8"
"MBE","White","84.1","376"
"MBE","Other","1.3","6"
"BEM","All","100.0","354"
"BEM","Asian","7.6","27"
"BEM","Black","1.7","6"
"BEM","Mixed","2.5","9"
"BEM","White","86.4","306"
"BEM","Other","1.7","6"
