"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","69","85"
"Asian","74","83"
"Bangladeshi","78","81"
"Indian","79","88"
"Pakistani","71","78"
"Asian other","73","84"
"Black","76","82"
"Black African","77","83"
"Black Caribbean","72","80"
"Black other","74","79"
"Chinese","80","89"
"Mixed","73","86"
"Mixed White/Asian","75","89"
"Mixed White/Black African","76","86"
"Mixed White/Black Caribbean","71","84"
"Mixed other","74","86"
"White","67","86"
"White British","67","87"
"White Irish","63","88"
"Gypsy/Roma","43","40"
"Irish Traveller","34","50"
"White other","69","80"
"Other","67","78"
"Unknown","65","64"
