"Ethnicity","Expected standard"
"All","83"
"Asian","82"
"Bangladeshi","81"
"Indian","88"
"Pakistani","77"
"Asian other","83"
"Black","81"
"Black African","82"
"Black Caribbean","78"
"Black other","78"
"Chinese","88"
"Mixed","84"
"Mixed White/Asian","87"
"Mixed White/Black African","84"
"Mixed White/Black Caribbean","80"
"Mixed other","84"
"White","83"
"White British","84"
"White Irish","84"
"Gypsy/Roma","41"
"Irish Traveller","41"
"White other","79"
"Other","76"
"Unknown","64"
