"Ethnicity","geography","%"
"Asian","Islington","83"
"Asian","Kensington and Chelsea","88"
"Asian","Kent","88"
"Asian","Kingston upon Hull, City of","86"
"Asian","Kingston upon Thames","83"
"Asian","Kirklees","78"
"Asian","Knowsley","87"
"Asian","Lambeth","85"
"Asian","Lancashire","77"
"Asian","Leeds","75"
"Asian","Leicester","82"
"Asian","Leicestershire","84"
"Asian","Lewisham","83"
"Asian","Lincolnshire","90"
"Asian","Liverpool","76"
"Asian","Luton","77"
"Asian","Manchester","77"
"Asian","Medway","85"
"Asian","Merton","87"
"Asian","Middlesbrough","74"
"Asian","Milton Keynes","88"
"Asian","Newcastle upon Tyne","77"
"Asian","Newham","84"
"Asian","Norfolk","84"
"Asian","North East Lincolnshire","93"
"Asian","North Lincolnshire","89"
"Asian","North Somerset","88"
"Asian","North Tyneside","76"
"Asian","North Yorkshire","76"
"Asian","Northamptonshire","79"
"Asian","Northumberland","88"
"Asian","Nottingham","78"
"Asian","Nottinghamshire","80"
"Asian","Oldham","70"
"Asian","Oxfordshire","80"
"Asian","Peterborough","81"
"Asian","Plymouth","73"
"Asian","Poole","86"
"Asian","Portsmouth","79"
"Asian","Reading","86"
"Asian","Redbridge","87"
"Asian","Redcar and Cleveland","90"
"Asian","Richmond upon Thames","89"
"Asian","Rochdale","76"
"Asian","Rotherham","83"
"Asian","Rutland","88"
"Asian","Salford","83"
"Asian","Sandwell","80"
"Asian","Sefton","78"
"Asian","Sheffield","81"
"Asian","Shropshire","85"
"Asian","Slough","87"
"Asian","Solihull","84"
"Asian","Somerset","83"
"Asian","South Gloucestershire","92"
"Asian","South Tyneside","80"
"Asian","Southampton","83"
"Asian","Southend-on-Sea","81"
"Asian","Southwark","85"
"Asian","St. Helens","82"
"Asian","Staffordshire","82"
"Asian","Stockport","78"
"Asian","Stockton-on-Tees","88"
"Asian","Stoke-on-Trent","80"
"Asian","Suffolk","83"
"Asian","Sunderland","77"
"Asian","Surrey","83"
"Asian","Sutton","92"
"Asian","Swindon","84"
"Asian","Tameside","77"
"Asian","Telford and Wrekin","89"
"Asian","Thurrock","87"
"Asian","Torbay","91"
"Asian","Tower Hamlets","83"
"Asian","Trafford","86"
"Asian","Wakefield","81"
"Asian","Walsall","81"
"Asian","Waltham Forest","87"
"Asian","Wandsworth","84"
"Asian","Warrington","93"
"Asian","Warwickshire","87"
"Asian","West Berkshire","81"
"Asian","West Sussex","79"
"Asian","Westminster","81"
"Asian","Wigan","70"
"Asian","Wiltshire","85"
"Asian","Windsor and Maidenhead","86"
"Asian","Wirral","82"
"Asian","Wokingham","90"
"Asian","Wolverhampton","83"
"Asian","Worcestershire","81"
"Asian","York","83"
"Black","Barking and Dagenham","86"
"Black","Barnet","79"
"Black","Barnsley","75"
"Black","Bath and North East Somerset","60"
"Black","Bedford","82"
"Black","Bexley","88"
"Black","Birmingham","75"
"Black","Blackburn with Darwen","85"
"Black","Blackpool","83"
"Black","Bolton","67"
"Black","Bournemouth","95"
"Black","Bracknell Forest","86"
"Black","Bradford","68"
"Black","Brent","80"
"Black","Brighton and Hove","76"
"Black","Bristol, City of","70"
"Black","Bromley","81"
"Black","Buckinghamshire","83"
"Black","Bury","75"
"Black","Calderdale","81"
"Black","Cambridgeshire","74"
"Black","Camden","78"
"Black","Central Bedfordshire","82"
"Black","Cheshire East","94"
"Black","Cheshire West and Chester","71"
"Black","City of London","!"
"Black","Cornwall","0"
"Black","County Durham","56"
"Black","Coventry","78"
"Black","Croydon","83"
"Black","Cumbria","75"
"Black","Darlington","80"
"Black","Derby","84"
"Black","Derbyshire","74"
"Black","Devon","79"
"Black","Doncaster","74"
"Black","Dorset","25"
"Black","Dudley","78"
"Black","Ealing","78"
"Black","East Riding of Yorkshire","80"
"Black","East Sussex","78"
"Black","Enfield","79"
"Black","Essex","84"
"Black","Gateshead","81"
"Black","Gloucestershire","76"
"Black","Greenwich","87"
"Black","Hackney","83"
"Black","Halton","100"
"Black","Hammersmith and Fulham","83"
"Black","Hampshire","83"
"Black","Haringey","84"
"Black","Harrow","82"
"Black","Hartlepool","100"
"Black","Havering","85"
"Black","Herefordshire, County of","100"
"Black","Hertfordshire","81"
"Black","Hillingdon","82"
"Black","Hounslow","81"
"Black","Isle of Wight","100"
"Black","Isles of Scilly","!"
"Black","Islington","74"
"Black","Kensington and Chelsea","83"
"Black","Kent","90"
"Black","Kingston upon Hull, City of","73"
"Black","Kingston upon Thames","69"
"Black","Kirklees","73"
"Black","Knowsley","76"
"Black","Lambeth","84"
"Black","Lancashire","78"
"Black","Leeds","75"
"Black","Leicester","77"
"Black","Leicestershire","81"
"Black","Lewisham","79"
"Black","Lincolnshire","81"
"Black","Liverpool","79"
"Black","Luton","79"
"Black","Manchester","81"
"Black","Medway","88"
"Black","Merton","85"
"Black","Middlesbrough","81"
"Black","Milton Keynes","80"
"Black","Newcastle upon Tyne","77"
"Black","Newham","83"
"Black","Norfolk","80"
"Black","North East Lincolnshire","71"
"Black","North Lincolnshire","67"
"Black","North Somerset","69"
"Black","North Tyneside","71"
"Black","North Yorkshire","83"
"Black","Northamptonshire","78"
"Black","Northumberland","100"
"Black","Nottingham","78"
"Black","Nottinghamshire","81"
"Black","Oldham","72"
"Black","Oxfordshire","81"
"Black","Peterborough","81"
"Black","Plymouth","73"
"Black","Poole","73"
"Black","Portsmouth","88"
"Black","Reading","80"
"Black","Redbridge","80"
"Black","Redcar and Cleveland","75"
"Black","Richmond upon Thames","83"
"Black","Rochdale","77"
"Black","Rotherham","74"
"Black","Rutland","83"
"Black","Salford","77"
"Black","Sandwell","79"
"Black","Sefton","73"
"Black","Sheffield","77"
"Black","Shropshire","88"
"Black","Slough","79"
"Black","Solihull","76"
"Black","Somerset","87"
"Black","South Gloucestershire","85"
"Black","South Tyneside","67"
"Black","Southampton","82"
"Black","Southend-on-Sea","88"
"Black","Southwark","81"
"Black","St. Helens","71"
"Black","Staffordshire","75"
"Black","Stockport","82"
"Black","Stockton-on-Tees","89"
"Black","Stoke-on-Trent","78"
"Black","Suffolk","82"
"Black","Sunderland","95"
"Black","Surrey","81"
"Black","Sutton","87"
"Black","Swindon","92"
"Black","Tameside","79"
"Black","Telford and Wrekin","86"
"Black","Thurrock","86"
"Black","Torbay","100"
"Black","Tower Hamlets","84"
"Black","Trafford","88"
"Black","Wakefield","73"
