"gender","Ethnicity","FSM","Non-FSM"
"Boys","All","65","83"
"Boys","Asian","69","80"
"Boys","Bangladeshi","73","78"
"Boys","Indian","75","86"
"Boys","Pakistani","66","75"
"Boys","Asian other","69","81"
"Boys","Black","72","78"
"Boys","Black African","74","79"
"Boys","Black Caribbean","69","76"
"Boys","Black other","70","76"
"Boys","Chinese","75","87"
"Boys","Mixed","70","84"
"Boys","Mixed White/Asian","73","87"
"Boys","Mixed White/Black African","70","84"
"Boys","Mixed White/Black Caribbean","67","81"
"Boys","Mixed other","71","84"
"Boys","White","63","84"
"Boys","White British","63","85"
"Boys","White Irish","62","86"
"Boys","Gypsy/Roma","38","37"
"Boys","Irish Traveller","30","47"
"Boys","White other","65","77"
"Boys","Other","64","75"
"Boys","Unknown","59","62"
"Girls","All","73","87"
"Girls","Asian","78","86"
"Girls","Bangladeshi","82","85"
"Girls","Indian","82","91"
"Girls","Pakistani","76","82"
"Girls","Asian other","78","87"
"Girls","Black","79","86"
"Girls","Black African","80","87"
"Girls","Black Caribbean","74","85"
"Girls","Black other","78","83"
"Girls","Chinese","87","91"
"Girls","Mixed","77","89"
"Girls","Mixed White/Asian","78","91"
"Girls","Mixed White/Black African","81","88"
"Girls","Mixed White/Black Caribbean","75","87"
"Girls","Mixed other","76","89"
"Girls","White","71","88"
"Girls","White British","71","89"
"Girls","White Irish","64","89"
"Girls","Gypsy/Roma","48","42"
"Girls","Irish Traveller","38","53"
"Girls","White other","72","82"
"Girls","Other","71","80"
"Girls","Unknown","72","67"
