"","Boys","Girls"
"Ethnicity","%","%"
"All","80","85"
"Asian","79","85"
"Bangladeshi","78","84"
"Indian","85","91"
"Pakistani","74","81"
"Asian other","80","86"
"Black","77","84"
"Black African","78","85"
"Black Caribbean","74","82"
"Black other","74","82"
"Chinese","86","91"
"Mixed","81","86"
"Mixed White/Asian","85","89"
"Mixed White/Black African","81","87"
"Mixed White/Black Caribbean","77","84"
"Mixed other","82","86"
"White","81","86"
"White British","82","87"
"White Irish","83","85"
"Gypsy/Roma","37","44"
"Irish Traveller","38","44"
"White other","76","82"
"Other","73","78"
"Unknown","62","67"
