"Ethnicity","Geography","boys","Girls"
"All","Barking and Dagenham","78","87"
"All","Barnet","83","85"
"All","Barnsley","76","83"
"All","Bath and North East Somerset","87","90"
"All","Bedford","76","79"
"All","Bexley","84","88"
"All","Birmingham","74","80"
"All","Blackburn with Darwen","78","83"
"All","Blackpool","78","82"
"All","Bolton","77","83"
"All","Bournemouth","83","88"
"All","Bracknell Forest","83","92"
"All","Bradford","75","81"
"All","Brent","77","85"
"All","Brighton and Hove","85","89"
"All","Bristol, City of","78","83"
"All","Bromley","85","88"
"All","Buckinghamshire","84","89"
"All","Bury","80","83"
"All","Calderdale","75","83"
"All","Cambridgeshire","81","85"
"All","Camden","81","85"
"All","Central Bedfordshire","84","88"
"All","Cheshire East","82","85"
"All","Cheshire West and Chester","80","85"
"All","City of London","!","!"
"All","Cornwall","80","85"
"All","County Durham","81","86"
"All","Coventry","77","83"
"All","Croydon","82","87"
"All","Cumbria","83","87"
"All","Darlington","80","85"
"All","Derby","76","83"
"All","Derbyshire","83","87"
"All","Devon","84","87"
"All","Doncaster","75","83"
"All","Dorset","84","86"
"All","Dudley","78","85"
"All","Ealing","79","85"
"All","East Riding of Yorkshire","84","89"
"All","East Sussex","81","88"
"All","Enfield","75","80"
"All","Essex","82","86"
"All","Gateshead","80","87"
"All","Gloucestershire","82","86"
"All","Greenwich","81","88"
"All","Hackney","82","88"
"All","Halton","75","80"
"All","Hammersmith and Fulham","85","87"
"All","Hampshire","86","90"
"All","Haringey","83","86"
"All","Harrow","84","88"
"All","Hartlepool","77","86"
"All","Havering","84","90"
"All","Herefordshire, County of","82","90"
"All","Hertfordshire","82","87"
"All","Hillingdon","80","87"
"All","Hounslow","84","89"
"All","Isle of Wight","75","81"
"All","Isles of Scilly","!","!"
"All","Islington","79","84"
"All","Kensington and Chelsea","82","89"
"All","Kent","84","89"
"All","Kingston upon Hull, City of","74","80"
"All","Kingston upon Thames","83","89"
"All","Kirklees","78","83"
"All","Knowsley","74","81"
"All","Lambeth","84","89"
"All","Lancashire","79","84"
"All","Leeds","76","80"
"All","Leicester","76","80"
"All","Leicestershire","82","85"
"All","Lewisham","81","85"
"All","Lincolnshire","79","83"
"All","Liverpool","73","79"
"All","Luton","71","82"
"All","Manchester","75","81"
"All","Medway","80","87"
"All","Merton","83","88"
"All","Middlesbrough","72","79"
"All","Milton Keynes","81","87"
"All","Newcastle upon Tyne","79","85"
"All","Newham","80","86"
"All","Norfolk","81","86"
"All","North East Lincolnshire","77","83"
"All","North Lincolnshire","77","86"
"All","North Somerset","86","89"
"All","North Tyneside","83","87"
"All","North Yorkshire","82","87"
"All","Northamptonshire","80","85"
"All","Northumberland","83","90"
"All","Nottingham","73","79"
"All","Nottinghamshire","81","86"
"All","Oldham","73","80"
"All","Oxfordshire","84","87"
"All","Peterborough","74","82"
"All","Plymouth","75","83"
"All","Poole","82","85"
"All","Portsmouth","79","87"
"All","Reading","80","83"
"All","Redbridge","81","86"
"All","Redcar and Cleveland","81","88"
"All","Richmond upon Thames","89","93"
"All","Rochdale","76","81"
"All","Rotherham","79","84"
"All","Rutland","90","90"
"All","Salford","76","86"
"All","Sandwell","75","80"
"All","Sefton","79","86"
"All","Sheffield","78","84"
"All","Shropshire","85","86"
"All","Slough","78","87"
"All","Solihull","81","87"
"All","Somerset","85","88"
"All","South Gloucestershire","83","89"
"All","South Tyneside","80","85"
"All","Southampton","78","87"
"All","Southend-on-Sea","83","86"
"All","Southwark","79","86"
"All","St. Helens","76","83"
"All","Staffordshire","81","87"
"All","Stockport","82","88"
"All","Stockton-on-Tees","82","88"
"All","Stoke-on-Trent","77","81"
"All","Suffolk","79","83"
"All","Sunderland","80","87"
"All","Surrey","84","88"
"All","Sutton","83","90"
"All","Swindon","81","87"
"All","Tameside","77","85"
"All","Telford and Wrekin","80","84"
"All","Thurrock","79","84"
"All","Torbay","78","85"
"All","Tower Hamlets","79","86"
"All","Trafford","86","89"
"All","Wakefield","77","81"
"All","Walsall","75","82"
"All","Waltham Forest","82","88"
"All","Wandsworth","85","89"
"All","Warrington","83","88"
"All","Warwickshire","82","87"
"All","West Berkshire","83","88"
"All","West Sussex","81","84"
"All","Westminster","78","83"
"All","Wigan","79","85"
"All","Wiltshire","82","85"
"All","Windsor and Maidenhead","87","90"
"All","Wirral","78","84"
"All","Wokingham","87","90"
"All","Wolverhampton","76","83"
"All","Worcestershire","81","86"
"All","York","84","85"
"Asian","Barking and Dagenham","79","92"
"Asian","Barnet","84","85"
"Asian","Barnsley","90","80"
"Asian","Bath and North East Somerset","100","86"
"Asian","Bedford","71","71"
"Asian","Bexley","90","92"
"Asian","Birmingham","74","82"
"Asian","Blackburn with Darwen","74","84"
"Asian","Blackpool","82","84"
"Asian","Bolton","77","84"
"Asian","Bournemouth","88","94"
"Asian","Bracknell Forest","85","97"
"Asian","Bradford","74","83"
"Asian","Brent","80","89"
"Asian","Brighton and Hove","85","80"
"Asian","Bristol, City of","78","75"
"Asian","Bromley","88","94"
"Asian","Buckinghamshire","80","80"
"Asian","Bury","76","78"
"Asian","Calderdale","69","76"
"Asian","Cambridgeshire","80","84"
"Asian","Camden","74","85"
"Asian","Central Bedfordshire","85","88"
"Asian","Cheshire East","76","79"
"Asian","Cheshire West and Chester","71","85"
"Asian","City of London","!","!"
"Asian","Cornwall","67","100"
"Asian","County Durham","76","91"
"Asian","Coventry","81","88"
"Asian","Croydon","86","88"
"Asian","Cumbria","92","76"
"Asian","Darlington","81","89"
"Asian","Derby","75","83"
"Asian","Derbyshire","77","93"
"Asian","Devon","72","96"
"Asian","Doncaster","67","75"
"Asian","Dorset","73","83"
"Asian","Dudley","69","85"
"Asian","Ealing","81","86"
"Asian","East Riding of Yorkshire","75","100"
"Asian","East Sussex","84","85"
"Asian","Enfield","86","87"
"Asian","Essex","86","88"
"Asian","Gateshead","86","96"
"Asian","Gloucestershire","80","86"
"Asian","Greenwich","82","91"
"Asian","Hackney","85","91"
"Asian","Halton","50","N/A"
"Asian","Hammersmith and Fulham","81","86"
"Asian","Hampshire","84","91"
"Asian","Haringey","85","88"
"Asian","Harrow","87","92"
"Asian","Hartlepool","70","89"
"Asian","Havering","84","92"
"Asian","Herefordshire, County of","78","73"
"Asian","Hertfordshire","83","87"
"Asian","Hillingdon","84","90"
"Asian","Hounslow","88","91"
"Asian","Isle of Wight","100","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","79","86"
"Asian","Kensington and Chelsea","90","85"
"Asian","Kent","84","92"
"Asian","Kingston upon Hull, City of","95","78"
"Asian","Kingston upon Thames","78","86"
"Asian","Kirklees","74","83"
"Asian","Knowsley","89","86"
"Asian","Lambeth","79","92"
"Asian","Lancashire","73","80"
"Asian","Leeds","72","79"
"Asian","Leicester","79","85"
"Asian","Leicestershire","80","87"
"Asian","Lewisham","77","91"
"Asian","Lincolnshire","89","92"
"Asian","Liverpool","70","81"
"Asian","Luton","71","84"
"Asian","Manchester","74","80"
"Asian","Medway","78","94"
"Asian","Merton","83","91"
"Asian","Middlesbrough","68","80"
"Asian","Milton Keynes","87","90"
"Asian","Newcastle upon Tyne","71","83"
"Asian","Newham","82","87"
"Asian","Norfolk","81","86"
"Asian","North East Lincolnshire","100","83"
"Asian","North Lincolnshire","86","91"
"Asian","North Somerset","93","82"
"Asian","North Tyneside","75","79"
"Asian","North Yorkshire","76","76"
"Asian","Northamptonshire","78","82"
"Asian","Northumberland","93","83"
"Asian","Nottingham","75","80"
"Asian","Nottinghamshire","78","83"
"Asian","Oldham","66","74"
"Asian","Oxfordshire","77","83"
"Asian","Peterborough","77","85"
"Asian","Plymouth","50","100"
"Asian","Poole","84","87"
"Asian","Portsmouth","76","83"
"Asian","Reading","86","87"
