"Ethnicity","%","Number of reoffenders","Average number of reoffences per reoffender"
"All","29.2","125,829","4.04"
"Asian","24.3","6,010","3.40"
"Black","32.7","13,818","3.50"
"White","30.6","103,866","4.17"
"Other inc Mixed","20.9","962","3.32"
"Unknown","5.7","1,173","2.91"
