"Type of role","Ethnicity","Female (£)","Male (£)","Pay gap relative to men"
"All staff average monthly basic pay","All","2,423","3,157","0.77"
"All staff average monthly basic pay","Asian","2,637","3,764","0.70"
"All staff average monthly basic pay","Black","2,242","2,551","0.88"
"All staff average monthly basic pay","Mixed","2,407","3,145","0.77"
"All staff average monthly basic pay","Other","2,590","3,691","0.70"
"All staff average monthly basic pay","Unknown","2,491","3,369","0.74"
"All staff average monthly basic pay","White","2,407","3,034","0.79"
"Medical staff average monthly basic pay","All","4,897","5,703","0.86"
"Medical staff average monthly basic pay","Asian","4,760","5,636","0.84"
"Medical staff average monthly basic pay","Black","4,303","5,142","0.84"
"Medical staff average monthly basic pay","Mixed","4,387","5,017","0.87"
"Medical staff average monthly basic pay","Other","4,652","5,564","0.84"
"Medical staff average monthly basic pay","Unknown","4,401","5,145","0.86"
"Medical staff average monthly basic pay","White","5,104","5,934","0.86"
"Non-medical staff average monthly basic pay","All","2,276","2,429","0.94"
"Non-medical staff average monthly basic pay","Asian","2,209","2,251","0.98"
"Non-medical staff average monthly basic pay","Black","2,160","2,098","1.03"
"Non-medical staff average monthly basic pay","Mixed","2,171","2,223","0.98"
"Non-medical staff average monthly basic pay","Other","2,252","2,245","1.00"
"Non-medical staff average monthly basic pay","Unknown","2,265","2,566","0.88"
"Non-medical staff average monthly basic pay","White","2,293","2,483","0.92"
