"","Average (mean) monthly basic pay per FTE (£)","","Average pay for every £1 paid to White staff",""
"Ethnicity","Female","Male","Female","Male"
"All","4,897.00","5,703.00","n/a","n/a"
"Asian","4,760.00","5,636.00","0.93","0.95"
"Black","4,303.00","5,142.00","0.84","0.87"
"Mixed","4,387.00","5,017.00","0.86","0.85"
"Other","4,652.00","5,564.00","0.91","0.94"
"Unknown","4,401.00","5,145.00","0.86","0.87"
"White","5,104.00","5,934.00","n/a","n/a"
