"","All staff average monthly basic pay","","","Medical staff average monthly basic pay","","","Non-medical staff average monthly basic pay","",""
"Ethnicity","Female (£)","Male (£)","Pay gap relative to men","Female (£)","Male (£)","Pay gap relative to men","Female (£)","Male (£)","Pay gap relative to men"
"All","2,423","3,157","0.77","4,897","5,703","0.86","2,276","2,429","0.94"
"Asian","2,637","3,764","0.70","4,760","5,636","0.84","2,209","2,251","0.98"
"Black","2,242","2,551","0.88","4,303","5,142","0.84","2,160","2,098","1.03"
"Mixed","2,407","3,145","0.77","4,387","5,017","0.87","2,171","2,223","0.98"
"Other","2,590","3,691","0.70","4,652","5,564","0.84","2,252","2,245","1.00"
"Unknown","2,491","3,369","0.74","4,401","5,145","0.86","2,265","2,566","0.88"
"White","2,407","3,034","0.79","5,104","5,934","0.86","2,293","2,483","0.92"
