"Age group","year","ethnicity ","Number of offenders","Number of reoffenders","Number of reoffences","Proportion of offenders who reoffend (%)","Average number of reoffences per reoffender"
"Adult","2016/17","Asian","25571","5938","19843","23.2","3.34"
"Adult","2016/17","Black","40590","12777","45625","31.5","3.57"
"Adult","2016/17","Unknown ","18596","1039","3121","5.6","3.00"
"Adult","2016/17","Other","5024","1017","3479","20.2","3.42"
"Adult","2016/17","White","351928","105154","434000","29.9","4.13"
"Juvenile","2016/17","Asian","1757","631","2029","35.9","3.22"
"Juvenile","2016/17","Black","4880","2373","8748","48.6","3.69"
"Juvenile","2016/17","Unknown ","1776","212","732","11.9","3.45"
"Juvenile","2016/17","Other","301","119","446","39.5","3.75"
"Juvenile","2016/17","White","24712","10351","41636","41.9","4.02"
