"Time","Ethnicity","Number per 100,000"
"2018/19","Asian","3,458"
"2018/19","Black","4,832"
"2018/19","Mixed","7,950"
"2018/19","White","4,010"
"2018/19","Other","7,327"
"2019/20","Asian","3,636"
"2019/20","Black","5,098"
"2019/20","Mixed","7,147"
"2019/20","White","4,180"
"2019/20","Other","7,402"
"2020/21","Asian","3,570"
"2020/21","Black","5,125"
"2020/21","Mixed","7,569"
"2020/21","White","4,042"
"2020/21","Other","7,797"
