"","2018/19","2019/20","2020/21"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"Asian","3,458","3,636","3,570"
"Black","4,832","5,098","5,125"
"Mixed","7,950","7,147","7,569"
"White","4,010","4,180","4,042"
"Other","7,327","7,402","7,797"
