"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Age","Value","Value_type","APS per entry as a grade","Number of students"
"16-18 APS per entry - Tech level","Irish Traveller","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","N/A","Average point score","N/A","0"
"16-18 APS per entry - Level 2 Technical Certificate","All","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.71","Average point score","L2 Merit-","8631"
"16-18 APS per entry - Tech level","All","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.77","Average point score","Merit+","21967"
"16-18 APS per entry - Tech level","Irish Traveller","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","31.74","Average point score","Dist-","3"
"16-18 APS per entry - Level 2 Technical Certificate","Irish Traveller","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.5","Average point score","L2 Pass+","4"
"16-18 APS per entry - Applied General","Irish Traveller","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","25.13","Average point score","Merit","6"
"16-18 APS per entry - Applied General","Irish Traveller","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.58","Average point score","Merit+","7"
"16-18 APS per entry - Level 2 Technical Certificate","Irish Traveller","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.71","Average point score","L2 Merit-","7"
"16-18 APS per entry - Level 2 Technical Certificate","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.96","Average point score","L2 Merit","7"
"16-18 APS per entry - A level","All","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","39.51","Average point score","B","271601"
"16-18 APS per entry - Tech level","Gypsy/Roma","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","21.67","Average point score","Merit-","8"
"16-18 APS per entry - Applied General","All","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.25","Average point score","Dist-","78939"
"16-18 APS per entry - Level 2 Technical Certificate","Chinese","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","6.13","Average point score","L2 Merit","9"
"16-18 APS per entry - Tech level","Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30","Average point score","Dist-","1906"
"16-18 APS per entry - A level","Irish Traveller","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","21.61","Average point score","D","11"
