"","Asian","","Black","","Mixed","","White","","Other inc Chinese","","Unknown",""
"Geography","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters"
"Avon","0.0","0","0.5","3","0.9","6","97.8","624","0.8","5","N/A","60"
"Bedfordshire","0.2","1","1.2","5","2.6","11","96.0","405","0.0","0","N/A","16"
"Berkshire","0.4","2","0.4","2","1.5","7","97.4","446","0.2","1","N/A","1"
"Buckinghamshire","0.3","1","0.6","2","2.2","7","96.9","313","0.0","0","N/A","35"
"Cambridgeshire","0.3","1","0.0","0","2.4","9","97.4","371","0.0","0","N/A","12"
"Cheshire","0.6","4","0.4","3","0.4","3","98.1","658","0.4","3","N/A","18"
"Cleveland","0.2","1","0.2","1","0.5","2","98.9","437","0.2","1","N/A","0"
"Cornwall","0.0","0","0.4","2","0.7","3","98.7","451","0.2","1","N/A","181"
"Cumbria","0.0","0","0.0","0","0.0","0","99.8","415","0.2","1","N/A","166"
"Derbyshire","0.3","2","0.0","0","0.9","6","98.4","630","0.3","2","N/A","25"
"Devon and Somerset","0.0","0","0.0","0","0.6","9","99.2","1,611","0.2","4","N/A","94"
"Dorset and Wiltshire","0.2","2","0.3","3","1.1","10","98.3","893","0.0","0","N/A","106"
"Durham","0.7","3","0.7","3","1.0","4","97.6","406","0.0","0","N/A","72"
"East Sussex","0.2","1","0.4","2","2.5","14","97.0","553","0.0","0","N/A","42"
"Essex","0.3","2","0.7","4","1.2","7","97.5","577","0.3","2","N/A","561"
"Gloucestershire","0.6","2","0.6","2","1.6","5","96.8","301","0.3","1","N/A","98"
"Greater London","1.9","88","5.3","246","4.9","227","86.5","4,043","1.5","68","N/A","60"
"Greater Manchester","0.9","11","0.9","11","3.0","36","94.9","1,142","0.2","3","N/A","160"
"Hampshire","0.2","3","0.2","2","0.5","6","98.8","1,221","0.3","4","N/A","145"
"Hereford and Worcester","0.2","1","1.2","7","0.9","5","97.5","551","0.2","1","N/A","28"
"Hertfordshire","0.1","1","0.4","3","2.2","15","96.5","664","0.7","5","N/A","27"
"Humberside","0.0","0","0.4","3","1.3","10","98.2","758","0.1","1","N/A","29"
"Isle Of Wight","0.0","0","0.0","0","0.0","0","100.0","160","0.0","0","N/A","22"
"Isles of Scilly","0.0","0","2.6","1","0.0","0","97.4","38","0.0","0","N/A","0"
"Kent","0.0","0","0.3","2","0.8","6","98.2","728","0.7","5","N/A","462"
"Lancashire","1.2","12","0.3","3","1.2","12","97.0","1,007","0.4","4","N/A","23"
"Leicestershire","0.4","2","0.4","2","2.3","12","96.9","499","0.0","0","N/A","42"
"Lincolnshire","0.5","3","0.0","0","1.2","7","98.3","585","0.0","0","N/A","11"
"Merseyside","0.0","0","1.1","9","3.6","30","94.5","784","0.8","7","N/A","18"
"Norfolk","0.3","2","0.3","2","0.5","3","98.9","658","0.0","0","N/A","73"
"North West Fire Control","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","N/A","0"
"North Yorkshire","0.3","2","0.0","0","0.7","4","99.0","572","0.0","0","N/A","92"
"Northamptonshire","0.3","1","0.3","1","1.4","4","97.3","285","0.7","2","N/A","168"
"Northumberland","0.0","0","0.0","0","0.8","2","99.2","248","0.0","0","N/A","34"
"Nottinghamshire","0.8","5","1.1","7","2.6","17","95.5","616","0.0","0","N/A","33"
"Oxfordshire","0.0","0","0.4","2","0.6","3","98.1","510","1.0","5","N/A","59"
"Shropshire","0.3","1","1.1","4","0.5","2","97.9","372","0.3","1","N/A","121"
"South Yorkshire","0.2","1","1.0","6","2.1","13","96.2","590","0.5","3","N/A","1"
"Staffordshire","1.2","8","1.2","8","0.3","2","97.2","631","0.0","0","N/A","1"
"Suffolk","0.0","0","0.2","1","1.9","8","97.6","403","0.2","1","N/A","183"
"Surrey","0.7","4","0.2","1","1.3","7","97.8","542","0.0","0","N/A","20"
"Tyne and Wear","0.3","2","0.2","1","1.0","6","98.1","577","0.3","2","N/A","27"
"Warwickshire","0.9","3","0.9","3","0.9","3","97.3","319","0.0","0","N/A","78"
"West Midlands","1.9","26","4.5","62","4.7","65","88.4","1,222","0.6","8","N/A","22"
"West Sussex","0.0","0","0.0","0","0.4","2","99.2","503","0.4","2","N/A","109"
"West Yorkshire","1.7","17","0.3","3","1.4","14","96.1","979","0.6","6","N/A","48"
