"Role","Ethnicity","% 2011","Number 2011","% 2020","Number 2020"
"All Staff","All","N/A","54,264","N/A","44,597"
"All Staff","Asian","0.9","441","1.0","418"
"All Staff","Black","1.5","742","1.6","653"
"All Staff","Mixed","1.2","572","1.9","742"
"All Staff","White","96.0","47,611","94.9","38,068"
"All Staff","Other inc Chinese","0.5","237","0.5","214"
"All Staff","Unknown","N/A","4,661","N/A","4,502"
"Fire Control","All","N/A","1,556","N/A","1,151"
"Fire Control","Asian","0.3","5","0.4","4"
"Fire Control","Black","0.6","8","0.8","9"
"Fire Control","Mixed","1.2","17","1.5","16"
"Fire Control","White","97.7","1,407","97.1","1,053"
"Fire Control","Other inc Chinese","0.2","3","0.2","2"
"Fire Control","Unknown","N/A","116","N/A","67"
"Firefighters","All","N/A","43,360","N/A","35,291"
"Firefighters","Asian","0.5","212","0.7","215"
"Firefighters","Black","1.3","519","1.3","422"
"Firefighters","Mixed","1.2","473","2.0","624"
"Firefighters","White","96.5","38,061","95.6","30,298"
"Firefighters","Other inc Chinese","0.4","174","0.5","149"
"Firefighters","Unknown","N/A","3,921","N/A","3,583"
"Support Staff","All","N/A","9,348","N/A","8,155"
"Support Staff","Asian","2.6","224","2.7","199"
"Support Staff","Black","2.5","215","3.0","222"
"Support Staff","Mixed","0.9","82","1.4","102"
"Support Staff","White","93.3","8,143","92.0","6,717"
"Support Staff","Other inc Chinese","0.7","60","0.9","63"
"Support Staff","Unknown","N/A","624","N/A","852"
