"Role","Ethnicity","%","Number"
"Firefighters","All","N/A","35,291"
"Firefighters","Asian","0.7","215"
"Firefighters","Black","1.3","422"
"Firefighters","Mixed","2.0","624"
"Firefighters","White","95.6","30,298"
"Firefighters","Other inc Chinese","0.5","149"
"Firefighters","Unknown","N/A","3,583"
"Fire Control","All","N/A","1,151"
"Fire Control","Asian","0.4","4"
"Fire Control","Black","0.8","9"
"Fire Control","Mixed","1.5","16"
"Fire Control","White","97.1","1,053"
"Fire Control","Other inc Chinese","0.2","2"
"Fire Control","Unknown","N/A","67"
"Support Staff","All","N/A","8,155"
"Support Staff","Asian","2.7","199"
"Support Staff","Black","3.0","222"
"Support Staff","Mixed","1.4","102"
"Support Staff","White","92.0","6,717"
"Support Staff","Other inc Chinese","0.9","63"
"Support Staff","Unknown","N/A","852"
"All Staff","All","N/A","44,597"
"All Staff","Asian","1.0","418"
"All Staff","Black","1.6","653"
"All Staff","Mixed","1.9","742"
"All Staff","White","94.9","38,068"
"All Staff","Other inc Chinese","0.5","214"
"All Staff","Unknown","N/A","4,502"
