"","Fire Control","","Firefighters","","Support Staff",""
"Ethnicity","%","Number","%","Number","%","Number"
"All","2.6","1,151","79.1","35,291","18.3","8,155"
"Asian","1.0","4","51.4","215","47.6","199"
"Black","1.4","9","64.6","422","34.0","222"
"Mixed","2.2","16","84.1","624","13.7","102"
"White","2.8","1,053","79.6","30,298","17.6","6,717"
"Other inc Chinese","0.9","2","69.6","149","29.4","63"
"Unknown","N/A","67","N/A","3,583","N/A","852"
