"","Full-time ('Wholetime') firefighters","","On-call ('retained') firefighters",""
"Ethnicity","% ","Number","% ","Number"
"All","64.6","22,793","35.4","12,498"
"Asian","88.4","190","11.6","25"
"Black","91.9","388","8.1","34"
"Mixed","88.6","553","11.4","71"
"White","65.6","19,879","34.4","10,419"
"Other inc Chinese","83.2","124","16.8","25"
"Unknown","46.3","1,659","53.7","1,924"
