"","Firefighters","","Fire Control","","Support Staff","","All Staff",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number"
"All","N/A","35,291","N/A","1,151","N/A","8,155","N/A","44,597"
"Asian","0.7","215","0.4","4","2.7","199","1.0","418"
"Black","1.3","422","0.8","9","3.0","222","1.6","653"
"Mixed","2.0","624","1.5","16","1.4","102","1.9","742"
"White","95.6","30,298","97.1","1,053","92.0","6,717","94.9","38,068"
"Other inc Chinese","0.5","149","0.2","2","0.9","63","0.5","214"
"Unknown","N/A","3,583","N/A","67","N/A","852","N/A","4,502"
