"Ethnicity","Geography","% of firefighters","Number of firefighters"
"Asian","Avon","0.0","0"
"Asian","Bedfordshire","0.2","1"
"Asian","Berkshire","0.4","2"
"Asian","Buckinghamshire","0.3","1"
"Asian","Cambridgeshire","0.3","1"
"Asian","Cheshire","0.6","4"
"Asian","Cleveland","0.2","1"
"Asian","Cornwall","0.0","0"
"Asian","Cumbria","0.0","0"
"Asian","Derbyshire","0.3","2"
"Asian","Devon and Somerset","0.0","0"
"Asian","Dorset and Wiltshire","0.2","2"
"Asian","Durham","0.7","3"
"Asian","East Sussex","0.2","1"
"Asian","Essex","0.3","2"
"Asian","Gloucestershire","0.6","2"
"Asian","Greater London","1.9","88"
"Asian","Greater Manchester","0.9","11"
"Asian","Hampshire","0.2","3"
"Asian","Hereford and Worcester","0.2","1"
"Asian","Hertfordshire","0.1","1"
"Asian","Humberside","0.0","0"
"Asian","Isle Of Wight","0.0","0"
"Asian","Isles of Scilly","0.0","0"
"Asian","Kent","0.0","0"
"Asian","Lancashire","1.2","12"
"Asian","Leicestershire","0.4","2"
"Asian","Lincolnshire","0.5","3"
"Asian","Merseyside","0.0","0"
"Asian","Norfolk","0.3","2"
"Asian","North West Fire Control","0.0","0"
"Asian","North Yorkshire","0.3","2"
"Asian","Northamptonshire","0.3","1"
"Asian","Northumberland","0.0","0"
"Asian","Nottinghamshire","0.8","5"
"Asian","Oxfordshire","0.0","0"
"Asian","Shropshire","0.3","1"
"Asian","South Yorkshire","0.2","1"
"Asian","Staffordshire","1.2","8"
"Asian","Suffolk","0.0","0"
"Asian","Surrey","0.7","4"
"Asian","Tyne and Wear","0.3","2"
"Asian","Warwickshire","0.9","3"
"Asian","West Midlands","1.9","26"
"Asian","West Sussex","0.0","0"
"Asian","West Yorkshire","1.7","17"
"Black","Avon","0.5","3"
"Black","Bedfordshire","1.2","5"
"Black","Berkshire","0.4","2"
"Black","Buckinghamshire","0.6","2"
"Black","Cambridgeshire","0.0","0"
"Black","Cheshire","0.4","3"
"Black","Cleveland","0.2","1"
"Black","Cornwall","0.4","2"
"Black","Cumbria","0.0","0"
"Black","Derbyshire","0.0","0"
"Black","Devon and Somerset","0.0","0"
"Black","Dorset and Wiltshire","0.3","3"
"Black","Durham","0.7","3"
"Black","East Sussex","0.4","2"
"Black","Essex","0.7","4"
"Black","Gloucestershire","0.6","2"
"Black","Greater London","5.3","246"
"Black","Greater Manchester","0.9","11"
"Black","Hampshire","0.2","2"
"Black","Hereford and Worcester","1.2","7"
"Black","Hertfordshire","0.4","3"
"Black","Humberside","0.4","3"
"Black","Isle Of Wight","0.0","0"
"Black","Isles of Scilly","2.6","1"
"Black","Kent","0.3","2"
"Black","Lancashire","0.3","3"
"Black","Leicestershire","0.4","2"
"Black","Lincolnshire","0.0","0"
"Black","Merseyside","1.1","9"
"Black","Norfolk","0.3","2"
"Black","North West Fire Control","0.0","0"
"Black","North Yorkshire","0.0","0"
"Black","Northamptonshire","0.3","1"
"Black","Northumberland","0.0","0"
"Black","Nottinghamshire","1.1","7"
"Black","Oxfordshire","0.4","2"
"Black","Shropshire","1.1","4"
"Black","South Yorkshire","1.0","6"
"Black","Staffordshire","1.2","8"
"Black","Suffolk","0.2","1"
"Black","Surrey","0.2","1"
"Black","Tyne and Wear","0.2","1"
"Black","Warwickshire","0.9","3"
"Black","West Midlands","4.5","62"
"Black","West Sussex","0.0","0"
"Black","West Yorkshire","0.3","3"
"Mixed","Avon","0.9","6"
"Mixed","Bedfordshire","2.6","11"
"Mixed","Berkshire","1.5","7"
"Mixed","Buckinghamshire","2.2","7"
"Mixed","Cambridgeshire","2.4","9"
"Mixed","Cheshire","0.4","3"
"Mixed","Cleveland","0.5","2"
"Mixed","Cornwall","0.7","3"
"Mixed","Cumbria","0.0","0"
"Mixed","Derbyshire","0.9","6"
"Mixed","Devon and Somerset","0.6","9"
"Mixed","Dorset and Wiltshire","1.1","10"
"Mixed","Durham","1.0","4"
"Mixed","East Sussex","2.5","14"
"Mixed","Essex","1.2","7"
"Mixed","Gloucestershire","1.6","5"
"Mixed","Greater London","4.9","227"
"Mixed","Greater Manchester","3.0","36"
"Mixed","Hampshire","0.5","6"
"Mixed","Hereford and Worcester","0.9","5"
"Mixed","Hertfordshire","2.2","15"
"Mixed","Humberside","1.3","10"
"Mixed","Isle Of Wight","0.0","0"
"Mixed","Isles of Scilly","0.0","0"
"Mixed","Kent","0.8","6"
"Mixed","Lancashire","1.2","12"
"Mixed","Leicestershire","2.3","12"
"Mixed","Lincolnshire","1.2","7"
"Mixed","Merseyside","3.6","30"
"Mixed","Norfolk","0.5","3"
"Mixed","North West Fire Control","0.0","0"
"Mixed","North Yorkshire","0.7","4"
"Mixed","Northamptonshire","1.4","4"
"Mixed","Northumberland","0.8","2"
"Mixed","Nottinghamshire","2.6","17"
"Mixed","Oxfordshire","0.6","3"
"Mixed","Shropshire","0.5","2"
"Mixed","South Yorkshire","2.1","13"
"Mixed","Staffordshire","0.3","2"
"Mixed","Suffolk","1.9","8"
"Mixed","Surrey","1.3","7"
"Mixed","Tyne and Wear","1.0","6"
"Mixed","Warwickshire","0.9","3"
"Mixed","West Midlands","4.7","65"
"Mixed","West Sussex","0.4","2"
"Mixed","West Yorkshire","1.4","14"
"White","Avon","97.8","624"
"White","Bedfordshire","96.0","405"
"White","Berkshire","97.4","446"
"White","Buckinghamshire","96.9","313"
"White","Cambridgeshire","97.4","371"
"White","Cheshire","98.1","658"
"White","Cleveland","98.9","437"
"White","Cornwall","98.7","451"
"White","Cumbria","99.8","415"
"White","Derbyshire","98.4","630"
"White","Devon and Somerset","99.2","1,611"
"White","Dorset and Wiltshire","98.3","893"
"White","Durham","97.6","406"
"White","East Sussex","97.0","553"
"White","Essex","97.5","577"
"White","Gloucestershire","96.8","301"
"White","Greater London","86.5","4,043"
"White","Greater Manchester","94.9","1,142"
"White","Hampshire","98.8","1,221"
"White","Hereford and Worcester","97.5","551"
"White","Hertfordshire","96.5","664"
"White","Humberside","98.2","758"
"White","Isle Of Wight","100.0","160"
"White","Isles of Scilly","97.4","38"
"White","Kent","98.2","728"
"White","Lancashire","97.0","1,007"
"White","Leicestershire","96.9","499"
"White","Lincolnshire","98.3","585"
"White","Merseyside","94.5","784"
"White","Norfolk","98.9","658"
"White","North West Fire Control","0.0","0"
"White","North Yorkshire","99.0","572"
"White","Northamptonshire","97.3","285"
"White","Northumberland","99.2","248"
"White","Nottinghamshire","95.5","616"
"White","Oxfordshire","98.1","510"
"White","Shropshire","97.9","372"
