"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","3%","4%","7%","6%","3%","5%"
"Level 4 and above","2%","3%","6%","4%","2%","5%"
"Level 3","3%","5%","7%","10%","3%","?"
"Level 2","4%","6%","7%","3%","4%","?"
"Below Level 2","5%","6%","10%","?","5%","?"
"Other qualifications","4%","3%","7%","?","4%","6%"
"No qualifications","5%","3%","5%","?","5%","4%"
