"Time","Ethnicity","Boys looked after","Boys adopted","Girls looked after","Girls adopted"
"2018","All","56","53","44","47"
"2018","Asian","3","1","2","1"
"2018","Black","5","1","3","1"
"2018","Mixed","5","5","4","5"
"2018","Other (inc. Chinese)","3","1","1","1"
"2018","White","39","44","33","40"
"2018","Unknown","~0","1","~0","1"
"2019","All","56","52","44","48"
"2019","Asian","3","1","2","1"
"2019","Black","6","1","3","1"
"2019","Mixed","5","5","4","6"
"2019","Other (inc. Chinese)","3","1","1","1"
"2019","White","39","44","33","39"
"2019","Unknown","~0","1","~0","1"
"2020","All","57","52","43","48"
"2020","Asian","3","1","2","1"
"2020","Black","5","1","3","1"
"2020","Mixed","5","5","4","6"
"2020","Other (inc. Chinese)","4","1","1","1"
"2020","White","39","43","33","39"
"2020","Unknown","1","1","~0","1"
