"","Looked after children","","Looked after children who were adopted","","Under 18 population",""
"Ethnicity","%","Number","%","Number","%","Number"
"White","74","59,320","83","2,850","79","8,903,313"
"Mixed","10","7,780","10","360","5","590,017"
"Asian or Asian British","4","3,480","1","40","10","1,136,293"
"Black or Black British","7","5,860","2","60","5","562,333"
"Other ethnic groups (inc. Chinese)","4","2,930","1","50","1","145,004"
"Unknown","1","710","2","80","N/A","N/A"
