"Time","Ethnicity","%"
"2009/10-2011/12","All","9"
"2009/10-2011/12","Asian","12"
"2009/10-2011/12","Bangladeshi","27"
"2009/10-2011/12","Chinese","4"
"2009/10-2011/12","Indian","8"
"2009/10-2011/12","Pakistani","24"
"2009/10-2011/12","Asian other","11"
"2009/10-2011/12","Black","17"
"2009/10-2011/12","Mixed","14"
"2009/10-2011/12","White","8"
"2009/10-2011/12","White British","10"
"2009/10-2011/12","White other","8"
"2009/10-2011/12","Other","12"
"2010/11-2012/13","All","9"
"2010/11-2012/13","Asian","12"
"2010/11-2012/13","Bangladeshi","26"
"2010/11-2012/13","Chinese","4"
"2010/11-2012/13","Indian","6"
"2010/11-2012/13","Pakistani","24"
"2010/11-2012/13","Asian other","12"
"2010/11-2012/13","Black","19"
"2010/11-2012/13","Mixed","15"
"2010/11-2012/13","White","8"
"2010/11-2012/13","White British","9"
"2010/11-2012/13","White other","8"
"2010/11-2012/13","Other","12"
"2011/12-2013/14","All","8"
"2011/12-2013/14","Asian","12"
"2011/12-2013/14","Bangladeshi","27"
"2011/12-2013/14","Chinese","4"
"2011/12-2013/14","Indian","6"
"2011/12-2013/14","Pakistani","22"
"2011/12-2013/14","Asian other","10"
"2011/12-2013/14","Black","20"
"2011/12-2013/14","Mixed","14"
"2011/12-2013/14","White","8"
"2011/12-2013/14","White British","9"
"2011/12-2013/14","White other","6"
"2011/12-2013/14","Other","14"
"2012/13-2014/15","All","8"
"2012/13-2014/15","Asian","11"
"2012/13-2014/15","Bangladeshi","24"
"2012/13-2014/15","Chinese","3"
"2012/13-2014/15","Indian","6"
"2012/13-2014/15","Pakistani","21"
"2012/13-2014/15","Asian other","10"
"2012/13-2014/15","Black","19"
"2012/13-2014/15","Mixed","12"
"2012/13-2014/15","White","8"
"2012/13-2014/15","White British","8"
"2012/13-2014/15","White other","6"
"2012/13-2014/15","Other","14"
"2013/14-2015/16","All","8"
"2013/14-2015/16","Asian","10"
"2013/14-2015/16","Bangladeshi","25"
"2013/14-2015/16","Chinese","3"
"2013/14-2015/16","Indian","5"
"2013/14-2015/16","Pakistani","18"
"2013/14-2015/16","Asian other","9"
"2013/14-2015/16","Black","17"
"2013/14-2015/16","Mixed","11"
"2013/14-2015/16","White","8"
"2013/14-2015/16","White British","8"
"2013/14-2015/16","White other","5"
"2013/14-2015/16","Other","13"
"2014/15-2016/17","All","8"
"2014/15-2016/17","Asian","10"
"2014/15-2016/17","Bangladeshi","24"
"2014/15-2016/17","Chinese","3"
"2014/15-2016/17","Indian","5"
"2014/15-2016/17","Pakistani","19"
"2014/15-2016/17","Asian other","9"
"2014/15-2016/17","Black","17"
"2014/15-2016/17","Mixed","11"
"2014/15-2016/17","White","7"
"2014/15-2016/17","White British","8"
"2014/15-2016/17","White other","5"
"2014/15-2016/17","Other","12"
"2015/16-2017/18","All","8"
"2015/16-2017/18","Asian","9"
"2015/16-2017/18","Bangladeshi","27"
"2015/16-2017/18","Chinese","3"
"2015/16-2017/18","Indian","5"
"2015/16-2017/18","Pakistani","18"
"2015/16-2017/18","Asian other","10"
"2015/16-2017/18","Black","17"
"2015/16-2017/18","Mixed","11"
"2015/16-2017/18","White","6"
"2015/16-2017/18","White British","7"
"2015/16-2017/18","White other","4"
"2015/16-2017/18","Other","10"
