"","All other sources","Self-employed income","Wages and salaries"
"Ethnicity","%","%","%"
"All","28","9","63"
"Asian","21","11","68"
"Bangladeshi","38","7","55"
"Chinese","25","11","64"
"Indian","14","9","77"
"Pakistani","27","19","54"
"Asian other","23","11","66"
"Black","29","7","64"
"Mixed","23","6","71"
"White","28","9","63"
"White British","30","8","62"
"White other","14","12","74"
"Other","24","9","67"
