"Teacher","Ethnicity","%","Teachers"
"Classroom","Asian","",""
"Classroom","Bangladeshi","0.7","2,800"
"Classroom","Indian","2.0","8,000"
"Classroom","Pakistani","1.3","5,300"
"Classroom","Asian other","0.7","2,900"
"Classroom","Black","",""
"Classroom","Black African","1.0","3,900"
"Classroom","Black Caribbean","1.1","4,300"
"Classroom","Black other","0.4","1,400"
"Classroom","Mixed","",""
"Classroom","Mixed White/Asian","0.4","1,500"
"Classroom","Mixed White/Black African","0.1","600"
"Classroom","Mixed White/Black Caribbean","0.4","1,600"
"Classroom","Mixed other","0.6","2,200"
"Classroom","White","",""
"Classroom","White British","84.9","334,600"
"Classroom","White Irish","1.5","5,700"
"Classroom","White other","4.1","16,200"
"Classroom","Other inc Chinese","",""
"Classroom","Chinese","0.2","800"
"Classroom","Any other","0.6","2,600"
"Classroom","Unknown","N/A","34,500"
"Deputies and assistants","Asian","",""
"Deputies and assistants","Bangladeshi","0.3","100"
"Deputies and assistants","Indian","1.5","700"
"Deputies and assistants","Pakistani","0.7","300"
"Deputies and assistants","Asian other","0.4","200"
"Deputies and assistants","Black","",""
"Deputies and assistants","Black African","0.4","200"
"Deputies and assistants","Black Caribbean","1.0","500"
"Deputies and assistants","Black other","0.2","100"
"Deputies and assistants","Mixed","",""
"Deputies and assistants","Mixed White/Asian","0.3","100"
"Deputies and assistants","Mixed White/Black African","0.1","!"
"Deputies and assistants","Mixed White/Black Caribbean","0.3","100"
"Deputies and assistants","Mixed other","0.4","200"
"Deputies and assistants","White","",""
"Deputies and assistants","White British","89.7","41,800"
"Deputies and assistants","White Irish","1.7","800"
"Deputies and assistants","White other","2.4","1,100"
"Deputies and assistants","Other inc Chinese","",""
"Deputies and assistants","Chinese","0.1","!"
"Deputies and assistants","Any other","0.4","200"
"Deputies and assistants","Unknown","N/A","3,000"
"Heads","Asian","",""
"Heads","Bangladeshi","0.1","!"
"Heads","Indian","0.8","200"
"Heads","Pakistani","0.4","100"
"Heads","Asian other","0.2","100"
"Heads","Black","",""
"Heads","Black African","0.2","!"
"Heads","Black Caribbean","0.7","200"
"Heads","Black other","0.1","!"
"Heads","Mixed","",""
"Heads","Mixed White/Asian","0.3","100"
"Heads","Mixed White/Black African","0.1","!"
"Heads","Mixed White/Black Caribbean","0.2","!"
"Heads","Mixed other","0.3","100"
"Heads","White","",""
"Heads","White British","92.7","19,500"
"Heads","White Irish","1.8","400"
"Heads","White other","1.8","400"
"Heads","Other inc Chinese","",""
"Heads","Chinese","!","!"
"Heads","Any other","0.2","!"
"Heads","Unknown","N/A","1,300"
