"Gender","Ethnicity","%","Teachers"
"Men","Asian","",""
"Men","Bangladeshi","0.7","800"
"Men","Indian","1.5","1,700"
"Men","Pakistani","1.1","1,300"
"Men","Asian other","0.7","800"
"Men","Black","",""
"Men","Black African","1.4","1,500"
"Men","Black Caribbean","1.0","1,100"
"Men","Black other","0.4","400"
"Men","Mixed","",""
"Men","Mixed White/Asian","0.4","400"
"Men","Mixed White/Black African","0.2","200"
"Men","Mixed White/Black Caribbean","0.4","400"
"Men","Mixed other","0.5","600"
"Men","White","",""
"Men","White British","85.8","95,600"
"Men","White Irish","1.8","2,000"
"Men","White other","3.3","3,700"
"Men","Other inc Chinese","",""
"Men","Chinese","0.2","200"
"Men","Any other","0.6","700"
"Men","Unknown","N/A","10,000"
"Women","Asian","",""
"Women","Bangladeshi","0.6","2,200"
"Women","Indian","2.1","7,200"
"Women","Pakistani","1.3","4,400"
"Women","Asian other","0.7","2,400"
"Women","Black","",""
"Women","Black African","0.8","2,600"
"Women","Black Caribbean","1.1","3,800"
"Women","Black other","0.3","1,100"
"Women","Mixed","",""
"Women","Mixed White/Asian","0.3","1,200"
"Women","Mixed White/Black African","0.1","500"
"Women","Mixed White/Black Caribbean","0.4","1,300"
"Women","Mixed other","0.5","1,900"
"Women","White","",""
"Women","White British","85.7","300,300"
"Women","White Irish","1.4","4,900"
"Women","White other","4.0","14,000"
"Women","Other inc Chinese","",""
"Women","Chinese","0.2","600"
"Women","Any other","0.6","2,100"
"Women","Unknown","N/A","28,800"
