"Non-FSM","Ethnicity","Score","Pupils"
"Free school meals","All","34.4","66,365"
"Free school meals","Asian","42.9","8,610"
"Free school meals","Bangladeshi","45.2","2,256"
"Free school meals","Indian","46.5","957"
"Free school meals","Pakistani","40.8","4,364"
"Free school meals","Asian other","43.5","1,033"
"Free school meals","Black","38.9","5,912"
"Free school meals","Black African","41.9","3,639"
"Free school meals","Black Caribbean","32.9","1,531"
"Free school meals","Black other","36.4","742"
"Free school meals","Chinese","57.6","107"
"Free school meals","Mixed","36.6","4,396"
"Free school meals","Mixed White/Asian","38.6","709"
"Free school meals","Mixed White/Black African","38.8","558"
"Free school meals","Mixed White/Black Caribbean","33.3","1,614"
"Free school meals","Mixed other","38.4","1,515"
"Free school meals","White","31.6","44,327"
"Free school meals","White British","31.2","41,457"
"Free school meals","White Irish","35.2","188"
"Free school meals","Gypsy/Roma","16.8","344"
"Free school meals","Irish Traveller","18.0","67"
"Free school meals","White other","39.7","2,271"
"Free school meals","Other","42.8","1,980"
"Free school meals","Unknown","32.9","1,033"
"No free school meals","All","48.3","457,261"
"No free school meals","Asian","51.8","47,127"
"No free school meals","Bangladeshi","51.1","7,128"
"No free school meals","Indian","57.0","13,618"
"No free school meals","Pakistani","46.9","18,476"
"No free school meals","Asian other","54.9","7,905"
"No free school meals","Black","46.6","23,037"
"No free school meals","Black African","48.9","14,719"
"No free school meals","Black Caribbean","41.5","5,402"
"No free school meals","Black other","44.6","2,916"
"No free school meals","Chinese","64.6","1,768"
"No free school meals","Mixed","49.6","20,250"
"No free school meals","Mixed White/Asian","54.5","4,828"
"No free school meals","Mixed White/Black African","48.3","2,378"
"No free school meals","Mixed White/Black Caribbean","43.6","5,479"
"No free school meals","Mixed other","51.3","7,565"
"No free school meals","White","47.9","352,353"
"No free school meals","White British","47.9","326,223"
"No free school meals","White Irish","54.4","1,458"
"No free school meals","Gypsy/Roma","18.8","763"
"No free school meals","Irish Traveller","27.7","44"
"No free school meals","White other","47.7","23,865"
"No free school meals","Other","48.5","6,593"
"No free school meals","Unknown","41.2","6,133"
