"Gender","Ethnicity","Score","Pupils"
"All","All","46.5","523,626"
"All","Asian","50.4","55,737"
"All","Bangladeshi","49.6","9,384"
"All","Indian","56.3","14,575"
"All","Pakistani","45.7","22,840"
"All","Asian other","53.6","8,938"
"All","Black","45.0","28,949"
"All","Black African","47.5","18,358"
"All","Black Caribbean","39.6","6,933"
"All","Black other","43.0","3,658"
"All","Chinese","64.2","1,875"
"All","Mixed","47.3","24,646"
"All","Mixed White/Asian","52.5","5,537"
"All","Mixed White/Black African","46.5","2,936"
"All","Mixed White/Black Caribbean","41.3","7,093"
"All","Mixed other","49.1","9,080"
"All","White","46.1","396,680"
"All","White British","46.1","367,680"
"All","White Irish","52.2","1,646"
"All","Gypsy/Roma","18.2","1,107"
"All","Irish Traveller","21.9","111"
"All","White other","47.0","26,136"
"All","Other","47.2","8,573"
"All","Unknown","40.0","7,166"
"Boys","All","43.8","266,906"
"Boys","Asian","48.0","28,532"
"Boys","Bangladeshi","47.3","4,620"
"Boys","Indian","54.1","7,452"
"Boys","Pakistani","43.2","11,636"
"Boys","Asian other","50.6","4,824"
"Boys","Black","41.4","14,334"
"Boys","Black African","44.0","9,143"
"Boys","Black Caribbean","35.5","3,355"
"Boys","Black other","39.0","1,836"
"Boys","Chinese","61.9","903"
"Boys","Mixed","44.5","12,447"
"Boys","Mixed White/Asian","50.7","2,793"
"Boys","Mixed White/Black African","43.0","1,474"
"Boys","Mixed White/Black Caribbean","38.0","3,550"
"Boys","Mixed other","46.3","4,630"
"Boys","White","43.4","202,483"
"Boys","White British","43.4","187,806"
"Boys","White Irish","50.1","832"
"Boys","Gypsy/Roma","15.4","517"
"Boys","Irish Traveller","17.9","55"
"Boys","White other","44.2","13,273"
"Boys","Other","44.3","4,462"
"Boys","Unknown","37.1","3,745"
"Girls","All","49.3","256,720"
"Girls","Asian","53.0","27,205"
"Girls","Bangladeshi","51.9","4,764"
"Girls","Indian","58.6","7,123"
"Girls","Pakistani","48.3","11,204"
"Girls","Asian other","57.1","4,114"
"Girls","Black","48.6","14,615"
"Girls","Black African","51.0","9,215"
"Girls","Black Caribbean","43.4","3,578"
"Girls","Black other","47.0","1,822"
"Girls","Chinese","66.3","972"
"Girls","Mixed","50.1","12,199"
"Girls","Mixed White/Asian","54.3","2,744"
"Girls","Mixed White/Black African","50.0","1,462"
"Girls","Mixed White/Black Caribbean","44.5","3,543"
"Girls","Mixed other","52.0","4,450"
"Girls","White","48.8","194,197"
"Girls","White British","48.9","179,874"
"Girls","White Irish","54.3","814"
"Girls","Gypsy/Roma","20.5","590"
"Girls","Irish Traveller","25.8","56"
"Girls","White other","49.8","12,863"
"Girls","Other","50.2","4,111"
"Girls","Unknown","43.3","3,421"
