"Ethnicity","SEN","All","Boys","Girls"
"All","ALL SEN","27.2","25.8","29.7"
"All","No identified SEN","49.8","47.8","51.7"
"All","SEN Support","32.2","30.9","34.1"
"All","SEN with a statement or EHC plan","13.5","14.1","11.9"
"Asian","ALL SEN","27.3","26.2","29.0"
"Asian","No identified SEN","53.0","50.9","55.0"
"Asian","SEN Support","32.3","31.2","33.9"
"Asian","SEN with a statement or EHC plan","12.8","13.3","11.9"
"Black","ALL SEN","26.1","24.4","29.0"
"Black","No identified SEN","48.3","45.3","50.9"
"Black","SEN Support","31.3","29.8","33.5"
"Black","SEN with a statement or EHC plan","12.4","13.2","9.9"
"Chinese","ALL SEN","40.1","38.5","43.3"
"Chinese","No identified SEN","66.0","64.4","67.4"
"Chinese","SEN Support","51.6","51.8","51.4"
"Chinese","SEN with a statement or EHC plan","18.9","19.8","15.6"
"Mixed","ALL SEN","27.9","26.0","31.1"
"Mixed","No identified SEN","50.6","48.6","52.4"
"Mixed","SEN Support","33.0","31.3","35.4"
"Mixed","SEN with a statement or EHC plan","14.5","15.0","13.0"
"White","ALL SEN","27.2","25.8","29.8"
"White","No identified SEN","49.3","47.4","51.1"
"White","SEN Support","32.2","31.0","34.0"
"White","SEN with a statement or EHC plan","13.6","14.1","12.1"
