"Ethnicity","Geography","All","Boys","Girls"
"All","All - England","46.6","43.9","49.4"
"All","Barking and Dagenham","46.1","43.3","49.1"
"All","Barnet","56.0","53.1","59.1"
"All","Barnsley","42.5","39.2","45.8"
"All","Bath and North East Somerset","48.7","45.0","52.4"
"All","Bedford","45.8","43.5","48.4"
"All","Bexley","49.6","46.9","52.3"
"All","Birmingham","45.8","42.9","48.8"
"All","Blackburn with Darwen","45.8","43.4","48.3"
"All","Blackpool","38.5","35.8","41.5"
"All","Bolton","44.6","41.4","48.0"
"All","Bournemouth","50.0","46.4","53.6"
"All","Bracknell Forest","48.1","46.3","49.9"
"All","Bradford","42.7","40.2","45.3"
"All","Brent","49.9","47.7","52.2"
"All","Brighton and Hove","48.0","45.8","50.3"
"All","Bristol, City of","45.5","41.9","49.0"
"All","Bromley","50.3","46.6","53.9"
"All","Buckinghamshire","55.0","53.2","57.0"
"All","Bury","45.2","43.4","47.0"
"All","Calderdale","49.4","46.5","52.4"
"All","Cambridgeshire","48.0","45.4","50.7"
"All","Camden","48.0","42.0","52.4"
"All","Central Bedfordshire","45.2","42.4","48.0"
"All","Cheshire East","48.8","46.2","51.4"
"All","Cheshire West and Chester","46.4","44.0","48.9"
"All","City of London","N/A","N/A","N/A"
"All","Cornwall","45.1","42.5","47.8"
"All","County Durham","45.0","42.2","47.9"
"All","Coventry","43.3","40.7","45.9"
"All","Croydon","45.8","42.4","49.0"
"All","Cumbria","46.7","44.3","49.2"
"All","Darlington","45.8","43.4","48.6"
"All","Derby","43.2","40.8","45.8"
"All","Derbyshire","45.6","42.9","48.4"
"All","Devon","45.8","42.9","49.0"
"All","Doncaster","42.7","40.3","45.3"
"All","Dorset","47.4","45.0","50.1"
"All","Dudley","43.4","40.2","46.8"
"All","Ealing","50.0","47.2","52.6"
"All","East Riding of Yorkshire","48.1","45.3","50.9"
"All","East Sussex","45.2","42.1","48.6"
"All","Enfield","46.3","43.2","49.5"
"All","Essex","46.1","43.2","49.0"
"All","Gateshead","46.2","43.5","48.9"
"All","Gloucestershire","49.6","46.9","52.3"
"All","Greenwich","44.5","42.0","47.1"
"All","Hackney","49.0","45.3","51.9"
"All","Halton","44.2","42.1","46.5"
"All","Hammersmith and Fulham","52.9","48.9","56.7"
"All","Hampshire","47.2","44.5","50.0"
"All","Haringey","46.3","43.5","49.1"
"All","Harrow","50.7","47.7","53.4"
"All","Hartlepool","42.3","38.0","46.5"
"All","Havering","46.9","45.0","48.9"
"All","Herefordshire, County of","45.9","43.2","48.8"
"All","Hertfordshire","51.5","49.0","54.1"
"All","Hillingdon","47.8","45.3","50.5"
"All","Hounslow","49.4","46.5","52.4"
