"Ethnicity","%","Number of reoffenders","Average number of reoffences per reoffender"
"Asian","24.0","6,569","3.33"
"Black","33.3","15,150","3.59"
"White","30.7","115,505","4.12"
"Other inc Mixed","21.3","1,136","3.46"
"Unknown","6.1","1,251","3.08"
