"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","63","11"
"Boys","Asian","67","13"
"Boys","Bangladeshi","66","12"
"Boys","Indian","75","18"
"Boys","Pakistani","61","8"
"Boys","Asian other","68","14"
"Boys","Black","64","11"
"Boys","Black African","67","12"
"Boys","Black Caribbean","57","8"
"Boys","Black other","61","10"
"Boys","Chinese","79","23"
"Boys","Mixed","65","13"
"Boys","Mixed White/Asian","72","17"
"Boys","Mixed White/Black African","65","12"
"Boys","Mixed White/Black Caribbean","57","8"
"Boys","Mixed other","66","15"
"Boys","White","62","11"
"Boys","White British","63","11"
"Boys","White Irish","64","14"
"Boys","Gypsy/Roma","22","1"
"Boys","Irish Traveller","21","2"
"Boys","White other","61","10"
"Boys","Other","59","9"
"Boys","Unknown","45","8"
"Girls","All","76","19"
"Girls","Asian","79","21"
"Girls","Bangladeshi","79","21"
"Girls","Indian","85","27"
"Girls","Pakistani","75","15"
"Girls","Asian other","80","22"
"Girls","Black","78","18"
"Girls","Black African","80","20"
"Girls","Black Caribbean","73","13"
"Girls","Black other","76","18"
"Girls","Chinese","88","34"
"Girls","Mixed","78","21"
"Girls","Mixed White/Asian","82","25"
"Girls","Mixed White/Black African","78","21"
"Girls","Mixed White/Black Caribbean","72","15"
"Girls","Mixed other","79","22"
"Girls","White","75","18"
"Girls","White British","76","19"
"Girls","White Irish","79","24"
"Girls","Gypsy/Roma","30","3"
"Girls","Irish Traveller","38","3"
"Girls","White other","73","17"
"Girls","Other","70","14"
"Girls","Unknown","57","12"
