"","2013","","2014","","2015","","2016","","2017","","2018",""
"Ethnicity","Loans per 10,000","New loans","Loans per 10,000","New loans","Loans per 10,000","New loans","Loans per 10,000","New loans","Loans per 10,000","New loans","Loans per 10,000","New loans"
"All","3.3","10,371","4.6","14,779","3.0","9,794","2.8","9,082","2.7","8,918","2.4","7,817"
"Asian","3.1","594","2.8","569","1.7","345","1.8","387","1.7","375","1.5","343"
"Black","26.9","2,300","15.9","1,399","8.2","801","7.0","693","6.2","584","5.2","524"
"Mixed","14.0","436","25.0","811","14.1","459","10.0","356","8.0","304","6.0","242"
"White","2.3","6,546","3.9","11,126","2.6","7,535","2.4","6,963","2.5","7,184","2.2","6,213"
"Other","0.6","27","4.6","214","4.4","212","2.7","140","2.8","151","1.7","94"
